
No.,Player,Pos,Ht,Wt,Birth Date,Exp,College
1,Trevor Ariza,SF,6-8,215,June 30 1985,8,University of California Los Angeles
30,Earl Barron,C,7-0,250,August 14 1981,6,University of Memphis
3,Bradley Beal,SG,6-5,207,June 28 1993,R,University of Florida
35,Trevor Booker,PF,6-8,228,November 25 1987,2,Clemson University
98,Jason Collins,C,7-0,255,December 2 1978,11,Stanford University
15,Jordan Crawford,SG,6-4,195,October 23 1988,2,Xavier University
42,Nene Hilario,PF,6-11,250,September 13 1982,10,
14,Shaun Livingston,PG,6-7,182,September 11 1985,7,
22,Shelvin Mack,PG,6-3,203,April 22 1990,1,Butler University
20,Cartier Martin,SF,6-7,220,November 20 1984,4,Kansas State University
50,Emeka Okafor,C,6-10,252,September 28 1982,8,University of Connecticut
7,Jannero Pargo,PG,6-1,175,October 22 1979,8,University of Arkansas
12,A.J. Price,PG,6-2,181,October 7 1986,3,University of Connecticut
13,Kevin Seraphin,C,6-10,278,December 7 1989,2,
31,Chris Singleton,PF,6-8,230,November 21 1989,1,Florida State University
17,Garrett Temple,SG,6-6,195,May 8 1986,2,Louisiana State University
24,Jan Vesely,PF,6-11,240,April 24 1990,1,
2,John Wall,PG,6-4,195,September 6 1990,2,University of Kentucky
9,Martell Webster,SF,6-7,230,December 4 1986,7,
