
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paul Pierce,34,61,61,2075,394,890,.443,100,273,.366,294,617,.476,.499,293,344,.852,37,280,317,274,70,26,173,147,1181
2,Rajon Rondo,25,53,53,1957,256,572,.448,10,42,.238,246,530,.464,.456,108,181,.597,62,195,257,620,95,3,193,99,630
3,Brandon Bass,26,59,39,1868,303,632,.479,0,0,,303,632,.479,.479,132,163,.810,95,270,365,55,34,54,65,135,738
4,Kevin Garnett,35,60,60,1864,391,777,.503,3,9,.333,388,768,.505,.505,162,189,.857,66,428,494,175,56,61,107,141,947
5,Ray Allen,36,46,42,1565,226,493,.458,106,234,.453,120,259,.463,.566,97,106,.915,14,128,142,109,49,8,68,83,655
6,Avery Bradley,21,64,28,1368,200,402,.498,22,54,.407,178,348,.511,.525,62,78,.795,34,81,115,87,43,12,75,109,484
7,Mickael Pietrus,29,42,6,921,104,270,.385,61,182,.335,43,88,.489,.498,20,31,.645,18,112,130,25,21,10,33,81,289
8,Greg Stiemsma,26,55,3,766,66,121,.545,0,0,,66,121,.545,.545,29,41,.707,48,129,177,28,37,85,33,144,161
9,Keyon Dooling,31,46,2,662,66,163,.405,27,81,.333,39,82,.476,.488,23,31,.742,3,36,39,51,13,2,34,57,182
10,Jermaine O'Neal,33,25,24,570,52,120,.433,0,0,,52,120,.433,.433,21,31,.677,37,98,135,10,8,43,21,80,125
11,Sasha Pavlovic,28,45,7,527,50,128,.391,17,58,.293,33,70,.471,.457,3,8,.375,4,68,72,18,20,15,20,54,120
12,Marquis Daniels,31,38,0,484,52,143,.364,0,10,.000,52,133,.391,.364,17,23,.739,16,50,66,47,21,9,28,36,121
13,Chris Wilcox,29,28,4,481,64,107,.598,0,0,,64,107,.598,.598,24,39,.615,38,84,122,12,11,9,30,64,152
14,E'Twaun Moore,22,38,0,331,43,113,.381,17,45,.378,26,68,.382,.456,7,7,1.000,4,29,33,34,11,3,21,33,110
15,JaJuan Johnson,22,36,0,298,54,121,.446,0,0,,54,121,.446,.446,6,9,.667,20,38,58,6,5,14,14,25,114
16,Ryan Hollins,27,15,1,160,18,28,.643,0,0,,18,28,.643,.643,6,20,.300,9,17,26,3,1,5,11,23,42
17,Sean Williams,25,3,0,42,2,6,.333,0,0,,2,6,.333,.333,7,7,1.000,4,8,12,3,3,3,3,4,11
,Team Totals,,66,,15940,2341,5086,.460,363,988,.367,1978,4098,.483,.496,1017,1308,.778,509,2051,2560,1557,498,362,979,1315,6062
