
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Raymond Felton,24,82,81,3086,442,1083,.408,59,207,.285,383,876,.437,.435,219,272,.805,54,256,310,553,126,30,228,191,1162
2,Emeka Okafor,26,82,81,2691,433,772,.561,0,0,,433,772,.561,.561,219,369,.593,275,552,827,53,48,136,144,247,1085
3,Gerald Wallace,26,71,71,2669,389,811,.480,39,131,.298,350,680,.515,.504,365,454,.804,112,441,553,189,121,67,148,210,1182
4,Boris Diaw,26,59,59,2216,368,743,.495,70,167,.419,298,576,.517,.542,83,121,.686,94,254,348,287,50,44,178,163,889
5,D.J. Augustin,21,72,12,1908,267,621,.430,108,246,.439,159,375,.424,.517,208,233,.893,17,116,133,250,42,2,119,140,850
6,Raja Bell,32,45,44,1603,223,507,.440,70,177,.395,153,330,.464,.509,71,81,.877,33,146,179,113,37,6,68,109,587
7,Vladimir Radmanovic,28,32,3,674,101,252,.401,45,126,.357,56,126,.444,.490,20,31,.645,27,78,105,43,18,8,51,60,267
8,Adam Morrison,24,44,5,667,76,211,.360,31,92,.337,45,119,.378,.434,16,21,.762,16,56,72,38,9,4,29,73,199
9,DeSagana Diop,27,41,1,584,52,113,.460,0,0,,52,113,.460,.460,10,37,.270,69,86,155,19,17,31,28,73,114
10,Jason Richardson,28,14,14,491,97,220,.441,27,59,.458,70,161,.435,.502,41,55,.745,13,45,58,36,14,3,24,43,262
11,Matt Carroll,28,34,10,475,56,138,.406,12,45,.267,44,93,.473,.449,15,19,.789,5,50,55,24,18,5,26,53,139
12,Juwan Howard,35,39,2,450,74,145,.510,0,0,,74,145,.510,.510,23,34,.676,29,43,72,24,6,5,26,67,171
13,Jared Dudley,23,20,7,427,45,96,.469,3,8,.375,42,88,.477,.484,15,24,.625,25,34,59,19,18,2,10,40,108
14,Nazr Mohammed,31,39,1,341,41,101,.406,0,0,,41,101,.406,.406,22,40,.550,35,44,79,8,5,16,23,63,104
15,Shannon Brown,23,30,0,341,56,123,.455,8,28,.286,48,95,.505,.488,24,30,.800,8,16,24,28,18,5,29,33,144
16,Sean May,24,24,12,301,39,98,.398,1,1,1.000,38,97,.392,.403,14,20,.700,20,49,69,10,5,4,26,32,93
17,Cartier Martin,24,33,1,266,28,77,.364,10,33,.303,18,44,.409,.429,20,25,.800,7,26,33,13,8,4,9,33,86
18,Ryan Hollins,24,18,1,184,19,35,.543,0,0,,19,35,.543,.543,26,39,.667,19,17,36,4,3,17,10,34,64
19,Alexis Ajinca,20,31,4,182,25,69,.362,0,2,.000,25,67,.373,.362,20,28,.714,9,21,30,3,7,6,12,34,70
20,Sean Singletary,23,24,1,181,19,48,.396,6,15,.400,13,33,.394,.458,12,15,.800,5,14,19,17,5,0,18,31,56
21,Dontell Jefferson,25,6,0,84,11,22,.500,1,2,.500,10,20,.500,.523,6,9,.667,1,11,12,9,4,1,6,9,29
22,Dwayne Jones,25,6,0,52,4,7,.571,0,0,,4,7,.571,.571,4,6,.667,6,6,12,0,0,1,4,6,12
23,Andre Brown,27,4,0,41,1,7,.143,0,0,,1,7,.143,.143,2,2,1.000,7,5,12,1,1,0,5,9,4
24,Linton Johnson,28,2,0,13,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
,Team Totals,,82,,19930,2866,6299,.455,490,1339,.366,2376,4960,.479,.494,1455,1965,.740,886,2366,3252,1741,580,397,1279,1754,7677
