
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tristan Thompson,22,82,82,2594,363,761,.477,0,1,.000,363,760,.478,.477,235,339,.693,269,485,754,72,42,35,108,188,961
2,Kyrie Irving,21,71,71,2496,532,1237,.430,123,344,.358,409,893,.458,.480,291,338,.861,52,207,259,433,108,23,190,163,1478
3,Jarrett Jack,30,80,31,2252,286,698,.410,63,185,.341,223,513,.435,.455,125,149,.839,22,201,223,324,56,22,133,133,760
4,Dion Waiters,22,70,24,2072,430,993,.433,92,250,.368,338,743,.455,.479,161,235,.685,32,163,195,209,63,17,154,153,1113
5,Anderson Varejao,31,65,29,1800,227,459,.495,0,7,.000,227,452,.502,.495,92,135,.681,187,442,629,140,69,39,72,164,546
6,Luol Deng,28,40,40,1353,211,506,.417,40,127,.315,171,379,.451,.457,111,144,.771,59,144,203,98,38,5,55,58,573
7,Matthew Dellavedova,23,72,4,1271,122,296,.412,57,155,.368,65,141,.461,.508,38,48,.792,29,94,123,187,33,5,60,121,339
8,Tyler Zeller,24,70,9,1049,156,290,.538,0,1,.000,156,289,.540,.538,87,121,.719,103,179,282,36,18,38,60,137,399
9,Alonzo Gee,26,65,24,1020,98,236,.415,19,58,.328,79,178,.444,.456,43,61,.705,35,114,149,47,39,15,44,96,258
10,C.J. Miles,26,51,34,984,178,409,.435,83,211,.393,95,198,.480,.537,64,75,.853,18,85,103,52,46,15,44,103,503
11,Spencer Hawes,25,27,25,804,139,297,.468,47,105,.448,92,192,.479,.547,40,51,.784,43,165,208,64,13,27,54,83,365
12,Earl Clark,26,45,17,698,90,240,.375,40,116,.345,50,124,.403,.458,14,24,.583,20,107,127,16,16,19,30,61,234
13,Anthony Bennett,20,52,0,663,80,225,.356,13,53,.245,67,172,.390,.384,44,69,.638,49,106,155,17,21,8,47,93,217
14,Andrew Bynum,26,24,19,480,85,203,.419,0,0,,85,203,.419,.419,32,42,.762,47,79,126,27,6,28,30,28,202
15,Henry Sims,23,20,0,168,18,45,.400,0,0,,18,45,.400,.400,8,14,.571,22,34,56,5,5,7,8,32,44
16,Sergey Karasev,20,22,1,156,12,35,.343,4,19,.211,8,16,.500,.400,9,10,.900,0,16,16,6,3,1,11,22,37
17,Carrick Felix,23,7,0,38,7,14,.500,2,5,.400,5,9,.556,.571,3,4,.750,1,5,6,4,0,0,4,4,19
18,Shane Edwards,26,2,0,12,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,1,2,0,0,0,1,1,2
19,Seth Curry,23,1,0,9,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,0,1,1,0,2,0,0,0,3
20,Scotty Hopson,24,2,0,7,0,4,.000,0,2,.000,0,2,.000,.000,1,2,.500,0,0,0,1,1,0,0,0,1
21,Arinze Onuaku,26,2,0,5,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0
,Team Totals,,82,,19930,3036,6955,.437,584,1640,.356,2452,5315,.461,.479,1398,1861,.751,989,2629,3618,1738,579,304,1163,1640,8054
