
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jason Terry,29,81,80,2846,514,1063,.484,162,370,.438,352,693,.508,.560,160,199,.804,41,190,231,422,81,17,152,170,1350
2,Dirk Nowitzki,28,78,78,2820,673,1341,.502,72,173,.416,601,1168,.515,.529,498,551,.904,122,571,693,263,52,62,167,171,1916
3,Josh Howard,26,70,69,2455,493,1075,.459,92,239,.385,401,836,.480,.501,243,294,.827,130,345,475,127,82,56,123,180,1321
4,Devin Harris,23,80,61,2081,292,593,.492,14,50,.280,278,543,.512,.504,215,261,.824,45,151,196,296,96,21,146,242,813
5,Erick Dampier,31,76,73,1915,209,334,.626,0,0,,209,334,.626,.626,119,191,.623,217,349,566,44,24,82,107,239,537
6,Jerry Stackhouse,32,67,8,1615,280,654,.428,62,162,.383,218,492,.443,.476,182,215,.847,39,106,145,187,51,10,117,78,804
7,DeSagana Diop,25,81,9,1480,71,151,.470,0,1,.000,71,150,.473,.470,48,86,.558,166,272,438,30,40,113,63,244,190
8,Greg Buckner,30,76,11,1372,123,299,.411,32,103,.311,91,196,.464,.465,27,34,.794,35,123,158,70,47,7,40,152,305
9,Devean George,29,60,17,1283,146,370,.395,53,150,.353,93,220,.423,.466,36,48,.750,57,156,213,33,46,23,51,143,381
10,Austin Croshere,31,61,2,727,78,222,.351,26,91,.286,52,131,.397,.410,45,52,.865,33,153,186,44,14,6,33,68,227
11,Anthony Johnson,32,40,0,562,60,146,.411,11,29,.379,49,117,.419,.449,21,29,.724,13,35,48,78,16,1,31,68,152
12,Maurice Ager,22,32,1,214,22,70,.314,5,15,.333,17,55,.309,.350,20,33,.606,1,20,21,7,4,3,15,27,69
13,J.J. Barea,22,33,1,191,28,78,.359,6,21,.286,22,57,.386,.397,16,24,.667,7,18,25,24,1,1,14,19,78
14,Didier Ilunga-Mbenga,26,21,0,79,5,16,.313,0,0,,5,16,.313,.313,7,8,.875,3,8,11,6,3,5,5,17,17
15,Pops Mensah-Bonsu,23,12,0,71,11,17,.647,0,0,,11,17,.647,.647,7,18,.389,9,12,21,0,1,0,9,8,29
16,Kevin Willis,44,5,0,43,5,13,.385,0,0,,5,13,.385,.385,2,2,1.000,2,6,8,1,2,1,2,11,12
,Team Totals,,82,,19755,3010,6442,.467,535,1404,.381,2475,5038,.491,.509,1646,2045,.805,920,2515,3435,1632,560,408,1140,1837,8201
