
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Carmelo Anthony,22,65,65,2486,691,1453,.476,40,149,.268,651,1304,.499,.489,459,568,.808,143,248,391,249,77,23,234,203,1881
2,Marcus Camby,32,70,70,2369,312,659,.473,0,2,.000,312,657,.475,.473,161,221,.729,164,652,816,223,87,231,122,183,785
3,Allen Iverson,31,50,49,2121,430,947,.454,50,144,.347,380,803,.473,.480,331,436,.759,16,136,152,359,90,12,202,74,1241
4,Nene Hilario,24,64,42,1715,294,516,.570,0,1,.000,294,515,.571,.570,195,283,.689,150,299,449,77,62,59,127,209,783
5,Eduardo Najera,30,75,36,1658,204,354,.576,1,12,.083,203,342,.594,.578,88,123,.715,131,179,310,64,73,26,56,207,497
6,Steve Blake,26,49,40,1642,164,380,.432,48,140,.343,116,240,.483,.495,32,44,.727,14,110,124,324,51,5,101,72,408
7,Linas Kleiza,22,79,14,1488,200,474,.422,83,221,.376,117,253,.462,.509,115,135,.852,77,189,266,45,28,14,79,200,598
8,J.R. Smith,21,63,24,1471,284,644,.441,149,382,.390,135,262,.515,.557,102,126,.810,30,113,143,91,49,9,85,147,819
9,Yakhouba Diawara,24,64,19,1177,100,292,.342,49,170,.288,51,122,.418,.426,35,53,.660,27,83,110,55,30,7,37,132,284
10,Reggie Evans,26,66,11,1127,117,215,.544,0,0,,117,215,.544,.544,91,183,.497,156,304,460,45,42,16,95,144,325
11,Earl Boykins,30,31,4,877,156,378,.413,41,110,.373,115,268,.429,.467,119,131,.908,23,40,63,132,25,2,52,31,472
12,Andre Miller,30,23,23,822,117,248,.472,4,16,.250,113,232,.487,.480,62,85,.729,25,79,104,209,37,4,70,58,300
13,DerMarr Johnson,26,39,7,419,50,154,.325,19,88,.216,31,66,.470,.386,16,21,.762,10,47,57,17,16,12,27,39,135
14,Joe Smith,31,11,0,148,23,48,.479,0,1,.000,23,47,.489,.479,10,12,.833,13,27,40,3,6,7,13,23,56
15,Jamal Sampson,23,22,3,125,9,14,.643,0,1,.000,9,13,.692,.643,6,14,.429,15,33,48,5,2,7,10,17,24
16,Kenyon Martin,29,2,2,63,8,16,.500,0,1,.000,8,15,.533,.500,3,12,.250,6,14,20,1,0,0,5,10,19
17,Anthony Carter,31,2,0,37,3,8,.375,0,2,.000,3,6,.500,.375,0,0,,0,3,3,11,0,1,6,4,6
18,Julius Hodge,23,4,1,37,2,5,.400,0,0,,2,5,.400,.400,2,2,1.000,1,2,3,10,3,0,1,3,6
,Team Totals,,82,,19780,3164,6805,.465,484,1440,.336,2680,5365,.500,.501,1827,2449,.746,1001,2558,3559,1920,678,435,1352,1756,8639
