
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kentavious Caldwell-Pope,21,82,82,2587,390,972,.401,153,444,.345,237,528,.449,.480,110,158,.696,46,209,255,109,93,18,94,161,1043
2,Andre Drummond,21,82,82,2502,494,961,.514,0,2,.000,494,959,.515,.514,142,365,.389,437,667,1104,55,73,153,120,285,1130
3,Greg Monroe,24,69,57,2137,423,853,.496,0,0,,423,853,.496,.496,252,336,.750,229,475,704,142,78,34,149,148,1098
4,Caron Butler,34,78,21,1623,161,396,.407,83,219,.379,78,177,.441,.511,55,61,.902,21,175,196,79,43,4,49,120,460
5,Jodie Meeks,27,60,0,1462,222,534,.416,74,212,.349,148,322,.460,.485,145,160,.906,12,92,104,79,59,6,57,76,663
6,D.J. Augustin,27,54,13,1287,189,461,.410,49,150,.327,140,311,.450,.463,147,169,.870,13,87,100,265,33,2,110,61,574
7,Kyle Singler,26,54,40,1287,140,350,.400,76,187,.406,64,163,.393,.509,29,36,.806,23,116,139,67,33,14,42,98,385
8,Brandon Jennings,25,41,41,1173,218,543,.401,76,211,.360,142,332,.428,.471,120,143,.839,21,83,104,272,44,4,90,64,632
9,Anthony Tolliver,29,52,11,1160,135,319,.423,82,228,.360,53,91,.582,.552,50,63,.794,45,147,192,49,20,15,40,117,402
10,Josh Smith,29,28,28,896,153,391,.391,9,37,.243,144,354,.407,.403,52,111,.468,52,150,202,132,37,48,72,82,367
11,Reggie Jackson,24,27,27,870,183,420,.436,28,83,.337,155,337,.460,.469,82,103,.796,28,98,126,248,20,4,95,73,476
12,Jonas Jerebko,27,46,0,703,91,198,.460,28,76,.368,63,122,.516,.530,31,36,.861,47,95,142,41,27,11,26,77,241
13,Tayshaun Prince,34,23,7,571,69,160,.431,11,26,.423,58,134,.433,.466,19,29,.655,25,72,97,38,15,8,16,26,168
14,Spencer Dinwiddie,21,34,1,455,51,169,.302,12,65,.185,39,104,.375,.337,31,34,.912,4,44,48,104,19,6,33,53,145
15,Joel Anthony,32,49,0,406,36,62,.581,0,0,,36,62,.581,.581,15,22,.682,32,61,93,5,12,49,12,55,87
16,John Lucas III,32,21,0,272,42,104,.404,9,29,.310,33,75,.440,.447,5,5,1.000,4,12,16,60,8,0,16,18,98
17,Cartier Martin,30,23,0,198,15,53,.283,6,33,.182,9,20,.450,.340,0,0,,0,20,20,11,3,1,5,20,36
18,Shawne Williams,28,19,0,163,19,60,.317,4,26,.154,15,34,.441,.350,7,7,1.000,9,18,27,8,4,4,7,19,49
19,Quincy Miller,22,4,0,58,5,20,.250,2,11,.182,3,9,.333,.300,0,0,,2,6,8,5,1,2,2,5,12
20,Luigi Datome,27,3,0,17,5,12,.417,1,4,.250,4,8,.500,.458,0,0,,1,3,4,2,1,0,2,1,11
,Team Totals,,82,,19830,3041,7038,.432,703,2043,.344,2338,4995,.468,.482,1292,1838,.703,1051,2630,3681,1771,623,383,1099,1559,8077
