
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Stephen Curry,21,80,77,2896,528,1143,.462,166,380,.437,362,763,.474,.535,177,200,.885,48,308,356,472,152,19,243,252,1399
2,Monta Ellis,24,64,64,2647,631,1406,.449,77,228,.338,554,1178,.470,.476,292,388,.753,47,210,257,340,143,25,244,189,1631
3,Corey Maggette,30,70,49,2081,457,886,.516,13,50,.260,444,836,.531,.523,460,551,.835,92,281,373,172,51,4,168,231,1387
4,Anthony Morrow,24,69,37,2018,329,703,.468,140,307,.456,189,396,.477,.568,101,114,.886,61,198,259,104,65,16,84,158,899
5,C.J. Watson,25,65,15,1788,247,528,.468,45,145,.310,202,383,.527,.510,128,166,.771,28,141,169,180,103,8,69,124,667
6,Anthony Tolliver,24,44,29,1423,193,448,.431,50,151,.331,143,297,.481,.487,103,134,.769,84,235,319,87,32,33,46,127,539
7,Ronny Turiaf,27,42,20,872,85,146,.582,0,1,.000,85,145,.586,.582,37,78,.474,54,137,191,90,23,54,49,98,207
8,Chris Hunter,25,60,9,783,109,217,.502,0,4,.000,109,213,.512,.502,52,69,.754,56,111,167,37,13,35,30,132,270
9,Reggie Williams,23,24,10,782,140,283,.495,33,92,.359,107,191,.560,.553,52,62,.839,18,92,110,66,23,6,29,49,365
10,Andris Biedrins,23,33,29,763,81,137,.591,0,0,,81,137,.591,.591,4,25,.160,63,196,259,57,20,44,32,117,166
11,Devean George,32,45,4,761,89,206,.432,48,123,.390,41,83,.494,.549,16,23,.696,21,93,114,32,41,10,15,89,242
12,Vladimir Radmanovic,29,33,20,758,89,231,.385,23,86,.267,66,145,.455,.435,16,21,.762,43,106,149,38,26,6,39,79,217
13,Anthony Randolph,20,33,8,749,137,309,.443,1,5,.200,136,304,.447,.445,109,136,.801,73,142,215,42,28,51,49,92,384
14,Mikki Moore,34,23,20,406,54,90,.600,0,0,,54,90,.600,.600,7,11,.636,26,43,69,36,5,13,21,60,115
15,Stephen Jackson,31,9,9,300,56,133,.421,11,40,.275,45,93,.484,.462,26,37,.703,6,29,35,42,14,6,26,16,149
16,Cartier Martin,25,10,2,276,32,88,.364,10,31,.323,22,57,.386,.420,16,21,.762,17,30,47,9,8,0,13,36,90
17,Kelenna Azubuike,26,9,7,231,48,88,.545,10,27,.370,38,61,.623,.602,19,28,.679,12,29,41,10,5,9,7,16,125
18,Coby Karl,26,4,1,108,11,32,.344,2,11,.182,9,21,.429,.375,4,6,.667,4,12,16,15,3,1,6,14,28
19,Acie Law,25,5,0,66,9,14,.643,1,3,.333,8,11,.727,.679,12,15,.800,0,2,2,7,6,0,2,5,31
20,Raja Bell,33,1,0,23,4,6,.667,3,3,1.000,1,3,.333,.917,0,0,,0,2,2,3,0,0,0,2,11
,Team Totals,,82,,19730,3329,7094,.469,633,1687,.375,2696,5407,.499,.514,1631,2085,.782,753,2397,3150,1839,761,340,1204,1886,8922
