
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shane Battier,29,80,78,2907,265,619,.428,139,369,.377,126,250,.504,.540,75,101,.743,131,276,407,155,77,90,78,196,744
2,Rafer Alston,31,74,74,2526,364,924,.394,143,407,.351,221,517,.427,.471,98,137,.715,28,232,260,392,98,18,160,139,969
3,Tracy McGrady,28,66,62,2440,548,1307,.419,86,295,.292,462,1012,.457,.452,245,358,.684,42,297,339,387,68,30,160,91,1427
4,Yao Ming,27,55,55,2044,432,852,.507,0,2,.000,432,850,.508,.507,345,406,.850,172,422,594,129,25,111,183,171,1209
5,Luis Scola,27,82,39,2024,345,670,.515,0,3,.000,345,667,.517,.515,157,235,.668,174,351,525,106,60,19,105,235,847
6,Chuck Hayes,24,79,44,1575,113,221,.511,0,3,.000,113,218,.518,.511,11,24,.458,132,295,427,91,85,43,62,212,237
7,Luther Head,25,73,17,1379,206,477,.432,79,225,.351,127,252,.504,.515,66,81,.815,18,117,135,138,44,9,70,75,557
8,Bonzi Wells,31,51,7,1124,175,412,.425,8,38,.211,167,374,.447,.434,111,174,.638,63,197,260,80,51,24,76,113,469
9,Carl Landry,24,42,0,711,135,219,.616,0,1,.000,135,218,.619,.616,72,109,.661,96,111,207,21,17,7,26,98,342
10,Dikembe Mutombo,41,39,25,619,43,80,.538,0,0,,43,80,.538,.538,32,45,.711,68,131,199,5,11,48,17,55,118
11,Aaron Brooks,23,51,0,608,93,225,.413,36,109,.330,57,116,.491,.493,42,49,.857,13,43,56,87,13,5,44,69,264
12,Mike James,32,33,1,537,79,226,.350,24,74,.324,55,152,.362,.403,33,42,.786,11,41,52,54,17,2,29,44,215
13,Bobby Jackson,34,26,5,498,88,210,.419,28,82,.341,60,128,.469,.486,24,32,.750,10,61,71,63,13,2,28,37,228
14,Steve Novak,24,35,0,264,49,102,.480,34,71,.479,15,31,.484,.647,3,4,.750,4,31,35,6,2,3,4,17,135
15,Steve Francis,30,10,3,199,19,57,.333,4,17,.235,15,40,.375,.368,13,23,.565,8,15,23,30,9,5,14,25,55
16,Mike Harris,24,17,0,159,27,54,.500,0,2,.000,27,52,.519,.500,8,13,.615,24,30,54,3,6,3,9,16,62
17,Kirk Snyder,24,9,0,81,13,28,.464,2,9,.222,11,19,.579,.500,6,11,.545,5,7,12,8,1,1,4,6,34
18,Loren Woods,29,7,0,17,3,5,.600,0,0,,3,5,.600,.600,0,0,,0,1,1,2,0,0,0,2,6
19,Bobby Jones,24,4,0,9,2,4,.500,0,0,,2,4,.500,.500,0,0,,0,1,1,0,1,0,1,3,4
20,Justin Williams,23,1,0,6,1,3,.333,0,0,,1,3,.333,.333,1,4,.250,1,0,1,0,0,0,1,3,3
21,Gerald Green,22,1,0,4,3,3,1.000,0,0,,3,3,1.000,1.000,0,0,,2,0,2,0,0,0,0,2,6
,Team Totals,,82,,19730,3003,6698,.448,583,1707,.342,2420,4991,.485,.492,1342,1848,.726,1002,2659,3661,1757,598,420,1125,1609,7931
