
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Fred Jones,25,77,14,2268,275,647,.425,87,229,.380,188,418,.450,.492,176,207,.850,34,208,242,196,61,31,114,171,813
2,Reggie Miller,39,66,66,2105,314,719,.437,96,298,.322,218,421,.518,.503,250,268,.933,18,138,156,146,50,5,77,109,974
3,Austin Croshere,29,73,22,1827,188,497,.378,45,174,.259,143,323,.443,.424,226,256,.883,103,272,375,98,48,17,104,154,647
4,Stephen Jackson,26,51,49,1806,330,819,.403,103,286,.360,227,533,.426,.466,190,229,.830,44,206,250,119,64,14,123,154,953
5,Anthony Johnson,30,63,36,1747,203,456,.445,41,108,.380,162,348,.466,.490,85,113,.752,32,147,179,302,59,15,96,144,532
6,Jeff Foster,28,61,43,1594,168,324,.519,0,5,.000,168,319,.527,.519,90,142,.634,205,345,550,43,46,12,55,186,426
7,Jermaine O'Neal,26,44,41,1530,386,854,.452,1,6,.167,385,848,.454,.453,295,391,.754,85,303,388,82,25,88,131,173,1068
8,James Jones,24,75,24,1330,126,318,.396,66,166,.398,60,152,.395,.500,53,62,.855,39,135,174,57,31,28,43,123,371
9,Jamaal Tinsley,26,40,40,1301,218,522,.418,58,156,.372,160,366,.437,.473,122,164,.744,26,134,160,257,81,12,134,112,616
10,Eddie Gill,26,73,3,1021,81,242,.335,36,117,.308,45,125,.360,.409,71,81,.877,16,96,112,83,59,5,60,105,269
11,Scot Pollard,29,49,17,865,79,167,.473,0,0,,79,167,.473,.473,33,49,.673,85,120,205,18,30,24,31,123,191
12,David Harrison,22,43,14,760,106,184,.576,0,0,,106,184,.576,.576,52,91,.571,48,87,135,13,16,55,53,134,264
13,Dale Davis,35,25,25,730,67,125,.536,0,0,,67,125,.536,.536,38,61,.623,91,131,222,24,19,33,23,83,172
14,Metta World Peace,25,7,7,291,59,119,.496,7,17,.412,52,102,.510,.525,47,51,.922,8,37,45,22,12,6,17,27,172
15,Michael Curry,36,18,7,249,13,29,.448,0,0,,13,29,.448,.448,4,8,.500,8,19,27,15,5,4,5,39,30
16,John Edwards,23,25,1,139,11,30,.367,0,0,,11,30,.367,.367,7,14,.500,8,11,19,3,3,4,8,12,29
17,Marcus Haislip,24,9,0,106,13,38,.342,0,1,.000,13,37,.351,.342,6,11,.545,5,10,15,3,2,2,6,15,32
18,Jonathan Bender,24,7,0,93,16,40,.400,1,5,.200,15,35,.429,.413,3,6,.500,5,9,14,4,1,2,10,9,36
19,Britton Johnsen,25,6,1,87,6,22,.273,0,4,.000,6,18,.333,.273,0,0,,5,5,10,4,1,0,3,10,12
20,Tremaine Fowlkes,28,8,0,56,9,17,.529,1,3,.333,8,14,.571,.559,0,2,.000,3,5,8,0,2,0,5,7,19
,Team Totals,,82,,19905,2668,6169,.432,542,1575,.344,2126,4594,.463,.476,1748,2206,.792,868,2418,3286,1489,615,357,1173,1890,7626
