
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Elton Brand,27,80,80,3077,645,1211,.533,1,1,1.000,644,1210,.532,.533,351,461,.761,268,476,744,235,77,179,202,238,1642
2,Cuttino Mobley,31,78,73,2841,388,882,.440,101,246,.411,287,636,.451,.497,200,239,.837,52,215,267,198,92,24,145,186,1077
3,Corey Maggette,27,75,31,2291,367,808,.454,13,65,.200,354,743,.476,.462,519,633,.820,90,352,442,208,65,14,201,244,1266
4,Chris Kaman,24,75,66,2176,294,652,.451,0,1,.000,294,651,.452,.451,166,224,.741,160,428,588,79,41,116,147,251,754
5,Tim Thomas,29,76,24,2054,299,723,.414,136,356,.382,163,367,.444,.508,102,144,.708,63,315,378,171,55,28,106,228,836
6,Quinton Ross,25,81,43,1700,177,379,.467,2,10,.200,175,369,.474,.470,68,87,.782,60,130,190,86,70,32,33,179,424
7,Shaun Livingston,21,54,31,1611,208,449,.463,5,16,.313,203,433,.469,.469,82,116,.707,56,128,184,274,59,29,108,135,503
8,Sam Cassell,37,58,30,1407,261,625,.418,32,109,.294,229,516,.444,.443,160,182,.879,27,140,167,270,28,8,101,126,714
9,Jason Hart,28,23,22,746,85,194,.438,4,23,.174,81,171,.474,.448,32,36,.889,12,71,83,93,41,1,34,60,206
10,Daniel Ewing,23,61,3,712,65,161,.404,14,44,.318,51,117,.436,.447,35,45,.778,9,64,73,90,32,4,50,62,179
11,James Singleton,25,53,0,376,30,82,.366,3,14,.214,27,68,.397,.384,22,29,.759,36,70,106,17,15,17,17,45,85
12,Aaron Williams,35,38,7,374,29,53,.547,0,1,.000,29,52,.558,.547,18,22,.818,27,58,85,7,7,14,18,56,76
13,Paul Davis,22,31,0,180,22,52,.423,0,0,,22,52,.423,.423,7,10,.700,21,23,44,7,6,5,8,28,51
14,Doug Christie,36,7,0,82,5,17,.294,1,6,.167,4,11,.364,.324,2,3,.667,3,8,11,8,3,1,5,11,13
15,Yaroslav Korolev,19,10,0,41,4,16,.250,1,5,.200,3,11,.273,.281,3,6,.500,1,2,3,4,3,0,1,0,12
16,Will Conroy,24,4,0,35,0,3,.000,0,0,,0,3,.000,.000,0,4,.000,2,3,5,8,0,0,2,6,0
17,Luke Jackson,25,3,0,16,1,8,.125,1,4,.250,0,4,.000,.188,0,0,,0,1,1,4,0,0,1,3,3
18,Alvin Williams,32,2,0,10,0,2,.000,0,1,.000,0,1,.000,.000,2,4,.500,1,0,1,3,2,0,3,0,2
19,Von Wafer,21,1,0,1,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0
,Team Totals,,82,,19730,2880,6318,.456,314,903,.348,2566,5415,.474,.481,1769,2245,.788,888,2484,3372,1762,596,472,1239,1858,7843
