
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mike Conley,23,81,81,2872,423,953,.444,80,217,.369,343,736,.466,.486,181,247,.733,32,215,247,528,144,18,176,182,1107
2,Zach Randolph,29,75,74,2724,598,1188,.503,8,43,.186,590,1145,.515,.507,300,396,.758,326,588,914,163,63,25,151,175,1504
3,Marc Gasol,26,81,81,2586,364,691,.527,3,7,.429,361,684,.528,.529,220,294,.748,154,415,569,200,74,136,146,265,951
4,Rudy Gay,24,54,54,2152,409,869,.471,57,144,.396,352,725,.486,.503,194,241,.805,82,254,336,153,91,58,135,131,1069
5,O.J. Mayo,23,71,17,1869,304,747,.407,96,264,.364,208,483,.431,.471,99,131,.756,35,135,170,145,73,26,99,127,803
6,Darrell Arthur,22,80,9,1609,310,624,.497,0,6,.000,310,618,.502,.497,109,134,.813,115,227,342,53,52,63,88,228,729
7,Sam Young,25,78,46,1577,233,494,.472,17,50,.340,216,444,.486,.489,89,116,.767,40,147,187,71,68,23,61,120,572
8,Tony Allen,29,72,31,1494,251,492,.510,4,23,.174,247,469,.527,.514,137,182,.753,70,123,193,104,129,44,86,161,643
9,Greivis Vasquez,24,70,1,860,95,233,.408,25,86,.291,70,147,.476,.461,34,44,.773,12,61,73,151,22,4,70,83,249
10,Shane Battier,32,23,0,557,43,101,.426,14,42,.333,29,59,.492,.495,15,17,.882,32,60,92,32,16,10,16,31,115
11,Xavier Henry,19,38,16,527,65,160,.406,2,17,.118,63,143,.441,.413,33,52,.635,9,28,37,18,11,3,13,48,165
12,Hasheem Thabeet,23,45,0,369,17,39,.436,0,0,,17,39,.436,.436,19,35,.543,24,51,75,4,9,15,17,73,53
13,Hamed Haddadi,25,31,0,168,30,58,.517,0,1,.000,30,57,.526,.517,15,23,.652,24,44,68,5,2,13,11,29,75
14,Leon Powe,27,16,0,141,30,60,.500,0,2,.000,30,58,.517,.500,28,46,.609,8,17,25,5,3,1,7,24,88
15,Jason Williams,35,11,0,124,9,29,.310,3,15,.200,6,14,.429,.362,0,0,,0,8,8,28,3,1,7,2,21
16,Ish Smith,22,15,0,113,11,32,.344,0,2,.000,11,30,.367,.344,5,11,.455,1,4,5,15,5,0,8,11,27
17,Acie Law,26,11,0,94,3,19,.158,0,6,.000,3,13,.231,.158,6,10,.600,3,8,11,14,4,0,10,10,12
18,DeMarre Carroll,24,7,0,39,4,9,.444,0,0,,4,9,.444,.444,2,2,1.000,2,6,8,2,1,1,0,5,10
19,Rodney Carney,26,2,0,5,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,1,0,1,0,1,0,0,0,2
,Team Totals,,82,,19880,3200,6801,.471,309,926,.334,2891,5875,.492,.493,1486,1981,.750,970,2391,3361,1691,771,441,1145,1705,8195
