
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,LeBron James,28,76,76,2877,765,1354,.565,103,254,.406,662,1100,.602,.603,403,535,.753,97,513,610,551,129,67,226,110,2036
2,Chris Bosh,28,74,74,2454,485,907,.535,21,74,.284,464,833,.557,.546,241,302,.798,131,370,501,123,66,101,128,168,1232
3,Dwyane Wade,31,69,69,2391,569,1093,.521,17,66,.258,552,1027,.537,.528,308,425,.725,86,258,344,352,128,56,194,140,1463
4,Mario Chalmers,26,77,77,2068,227,529,.429,123,301,.409,104,228,.456,.545,89,112,.795,19,152,171,273,118,12,119,196,666
5,Ray Allen,37,79,0,2035,292,651,.449,139,332,.419,153,319,.480,.555,140,158,.886,40,177,217,135,67,15,103,129,863
6,Shane Battier,34,72,20,1786,152,362,.420,136,316,.430,16,46,.348,.608,32,38,.842,37,128,165,72,41,55,34,149,472
7,Norris Cole,24,80,4,1590,179,425,.421,35,98,.357,144,327,.440,.462,52,80,.650,18,112,130,164,57,7,104,155,445
8,Udonis Haslem,32,75,59,1414,129,251,.514,0,0,,129,251,.514,.514,32,45,.711,97,307,404,38,30,15,45,173,290
9,Mike Miller,32,59,17,900,100,231,.433,73,175,.417,27,56,.482,.591,8,11,.727,18,139,157,99,21,4,35,63,281
10,Rashard Lewis,33,55,9,792,103,249,.414,51,131,.389,52,118,.441,.516,28,45,.622,19,102,121,30,21,14,33,67,285
11,Chris Andersen,34,42,0,624,71,123,.577,2,3,.667,69,120,.575,.585,63,93,.677,57,115,172,17,16,44,24,89,207
12,Joel Anthony,30,62,3,566,35,68,.515,0,0,,35,68,.515,.515,17,28,.607,45,70,115,13,13,42,22,49,87
13,James Jones,32,38,0,221,21,61,.344,16,53,.302,5,8,.625,.475,2,4,.500,0,22,22,13,2,6,3,16,60
14,Juwan Howard,39,7,2,51,10,19,.526,0,0,,10,19,.526,.526,1,1,1.000,0,8,8,6,0,0,4,9,21
15,Jarvis Varnado,24,8,0,40,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,5,6,2,0,2,5,9,2
16,Josh Harrellson,23,6,0,31,4,9,.444,1,5,.200,3,4,.750,.500,1,2,.500,3,4,7,0,1,1,3,4,10
17,Terrel Harris,25,7,0,29,2,8,.250,0,1,.000,2,7,.286,.250,6,8,.750,4,5,9,2,0,0,4,3,10
18,Dexter Pittman,24,4,0,12,3,5,.600,0,0,,3,5,.600,.600,0,0,,4,3,7,0,0,0,2,4,6
,Team Totals,,82,,19880,3148,6348,.496,717,1809,.396,2431,4539,.536,.552,1423,1887,.754,676,2490,3166,1890,710,441,1143,1533,8436
