
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brandon Jennings,22,66,66,2331,469,1121,.418,129,388,.332,340,733,.464,.476,193,239,.808,49,177,226,365,104,22,146,114,1260
2,Ersan Ilyasova,24,60,41,1655,294,597,.492,51,112,.455,243,485,.501,.535,143,183,.781,196,333,529,71,42,44,76,133,782
3,Carlos Delfino,29,54,53,1537,182,453,.402,86,239,.360,96,214,.449,.497,38,48,.792,20,188,208,123,79,10,66,99,488
4,Drew Gooden,30,56,46,1469,287,657,.437,16,55,.291,271,602,.450,.449,176,208,.846,130,233,363,144,46,34,109,112,766
5,Mike Dunleavy,31,55,3,1445,239,504,.474,83,208,.399,156,296,.527,.557,116,143,.811,29,175,204,117,28,8,58,87,677
6,Shaun Livingston,26,58,27,1092,127,271,.469,2,3,.667,125,268,.466,.472,62,79,.785,39,84,123,122,27,20,66,79,318
7,Beno Udrih,29,59,0,1080,146,332,.440,17,59,.288,129,273,.473,.465,39,55,.709,26,76,102,227,37,1,77,69,348
8,Luc Mbah a Moute,25,43,22,1009,133,261,.510,1,4,.250,132,257,.514,.511,66,103,.641,77,150,227,29,40,22,39,93,333
9,Monta Ellis,26,21,21,755,145,336,.432,12,45,.267,133,291,.457,.449,68,89,.764,4,69,73,123,29,6,54,52,370
10,Stephen Jackson,33,26,13,712,97,272,.357,30,108,.278,67,164,.409,.412,50,60,.833,16,66,82,77,26,6,66,61,274
11,Larry Sanders,23,52,0,643,84,184,.457,0,2,.000,84,182,.462,.457,18,38,.474,62,98,160,33,32,76,43,133,186
12,Jon Leuer,22,46,12,555,97,191,.508,3,9,.333,94,182,.516,.516,21,28,.750,45,75,120,25,14,17,18,67,218
13,Tobias Harris,19,42,9,479,79,169,.467,6,23,.261,73,146,.500,.485,44,54,.815,30,71,101,22,13,7,31,45,208
14,Ekpe Udoh,24,23,5,463,45,110,.409,0,2,.000,45,108,.417,.409,40,50,.800,42,65,107,26,15,37,18,59,130
15,Andrew Bogut,27,12,12,364,61,136,.449,0,1,.000,61,135,.452,.449,14,23,.609,22,78,100,31,12,24,24,36,136
16,Jon Brockman,24,35,0,239,15,45,.333,0,1,.000,15,44,.341,.333,7,15,.467,33,42,75,9,4,1,10,33,37
17,Darington Hobson,24,5,0,39,2,13,.154,0,6,.000,2,7,.286,.154,0,0,,0,3,3,6,0,0,2,1,4
,Team Totals,,66,,15865,2502,5652,.443,436,1265,.345,2066,4387,.471,.481,1095,1415,.774,820,1983,2803,1550,548,335,929,1273,6535
