
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ricky Davis,27,81,81,3021,506,1089,.465,123,310,.397,383,779,.492,.521,239,285,.839,54,261,315,385,80,23,210,189,1374
2,Kevin Garnett,30,76,76,2995,638,1341,.476,12,56,.214,626,1285,.487,.480,416,498,.835,183,792,975,313,89,126,205,184,1704
3,Mark Blount,31,82,81,2544,427,839,.509,9,31,.290,418,808,.517,.514,147,195,.754,136,369,505,67,43,58,159,239,1010
4,Trenton Hassell,27,76,68,2223,217,443,.490,6,25,.240,211,418,.505,.497,72,92,.783,83,160,243,203,22,26,80,144,512
5,Mike James,31,82,65,2069,297,703,.422,80,215,.372,217,488,.445,.479,154,184,.837,25,138,163,297,55,7,129,171,828
6,Randy Foye,23,82,12,1879,300,691,.434,68,185,.368,232,506,.458,.483,164,192,.854,49,169,218,232,53,21,152,184,832
7,Marko Jaric,28,70,13,1555,136,325,.418,32,85,.376,104,240,.433,.468,67,88,.761,54,130,184,145,75,16,88,172,371
8,Craig Smith,23,82,5,1537,246,463,.531,0,6,.000,246,457,.538,.531,116,186,.624,149,267,416,49,51,18,74,223,608
9,Troy Hudson,30,34,6,554,74,195,.379,28,80,.350,46,115,.400,.451,26,32,.813,8,40,48,73,14,2,40,23,202
10,Rashad McCants,22,37,0,554,62,177,.350,20,75,.267,42,102,.412,.407,40,58,.690,14,33,47,38,26,7,40,71,184
11,Mark Madsen,31,56,0,473,23,43,.535,0,0,,23,43,.535,.535,15,29,.517,35,52,87,10,10,10,21,100,61
12,Justin Reed,25,41,3,318,40,107,.374,0,0,,40,107,.374,.374,26,30,.867,15,31,46,17,5,3,22,44,106
13,Bracey Wright,22,19,0,190,24,60,.400,6,20,.300,18,40,.450,.450,13,18,.722,7,14,21,15,9,1,6,6,67
14,Eddie Griffin,24,13,0,92,7,27,.259,0,1,.000,7,26,.269,.259,4,5,.800,7,18,25,4,0,7,6,8,18
,Team Totals,,82,,20005,2997,6503,.461,384,1089,.353,2613,5414,.483,.490,1499,1892,.792,819,2474,3293,1848,532,325,1278,1758,7877
