
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Vince Carter,30,82,82,3126,726,1598,.454,156,437,.357,570,1161,.491,.503,462,576,.802,114,378,492,393,82,30,217,266,2070
2,Jason Kidd,33,80,80,2933,369,908,.406,124,361,.343,245,547,.448,.475,179,230,.778,135,520,655,736,127,23,213,146,1041
3,Mikki Moore,31,79,55,2082,308,506,.609,0,1,.000,308,505,.610,.609,160,235,.681,145,258,403,74,46,60,113,261,776
4,Richard Jefferson,26,55,53,1956,303,665,.456,52,145,.359,251,520,.483,.495,239,326,.733,48,192,240,148,34,8,120,123,897
5,Jason Collins,28,80,78,1844,55,151,.364,0,2,.000,55,149,.369,.364,59,127,.465,90,226,316,46,40,38,73,273,169
6,Bostjan Nachbar,26,76,1,1532,226,495,.457,112,265,.423,114,230,.496,.570,132,164,.805,27,226,253,61,30,26,69,183,696
7,Marcus Williams,21,79,2,1315,208,526,.395,46,163,.282,162,363,.446,.439,72,85,.847,29,134,163,260,29,2,142,96,534
8,Antoine Wright,22,63,23,1137,110,251,.438,19,59,.322,91,192,.474,.476,44,73,.603,38,137,175,55,30,10,43,120,283
9,Clifford Robinson,40,50,1,955,81,218,.372,25,66,.379,56,152,.368,.429,16,36,.444,31,91,122,51,12,23,30,98,203
10,Eddie House,28,56,1,946,180,421,.428,75,175,.429,105,246,.427,.517,33,36,.917,14,78,92,67,27,3,27,69,468
11,Nenad Krstic,23,26,26,848,170,323,.526,0,1,.000,170,322,.528,.526,86,121,.711,51,125,176,46,10,24,52,88,426
12,Josh Boone,22,61,0,669,99,171,.579,0,0,,99,171,.579,.579,56,103,.544,64,112,176,10,11,21,33,94,254
13,Hassan Adams,22,61,8,495,75,135,.556,0,1,.000,75,134,.560,.556,24,36,.667,35,42,77,13,17,4,22,47,174
14,Bernard Robinson,26,10,0,37,3,8,.375,0,0,,3,8,.375,.375,4,5,.800,1,5,6,2,4,1,0,4,10
15,Mile Ilic,22,5,0,6,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,1,1,0,0,0,3,1,0
,Team Totals,,82,,19880,2913,6379,.457,609,1676,.363,2304,4703,.490,.504,1566,2153,.727,822,2525,3347,1962,499,273,1212,1869,8001
