
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Marco Belinelli,25,66,55,1966,286,686,.417,107,284,.377,179,402,.445,.495,101,129,.783,19,153,172,101,48,5,69,115,780
2,Greivis Vasquez,25,66,26,1706,225,523,.430,43,135,.319,182,388,.469,.471,96,117,.821,23,150,173,359,60,8,148,126,589
3,Jarrett Jack,28,45,39,1530,266,583,.456,39,112,.348,227,471,.482,.490,129,148,.872,23,153,176,285,31,9,106,93,700
4,Al-Farouq Aminu,21,66,21,1477,150,365,.411,13,47,.277,137,318,.431,.429,86,114,.754,95,213,308,66,59,34,91,136,399
5,Chris Kaman,29,47,33,1372,266,597,.446,0,0,,266,597,.446,.446,84,107,.785,89,275,364,101,25,77,129,106,616
6,Trevor Ariza,26,41,41,1350,168,403,.417,29,87,.333,139,316,.440,.453,79,102,.775,41,174,215,135,69,25,76,73,444
7,Gustavo Ayon,26,54,24,1088,140,261,.536,0,1,.000,140,260,.538,.536,39,63,.619,86,179,265,74,53,46,46,118,319
8,Carl Landry,28,41,8,999,182,362,.503,0,3,.000,182,359,.507,.503,147,184,.799,78,136,214,38,13,12,64,89,511
9,Jason Smith,25,40,29,947,181,348,.520,1,9,.111,180,339,.531,.522,33,47,.702,72,124,196,34,21,41,40,102,396
10,Emeka Okafor,29,27,27,781,114,214,.533,0,0,,114,214,.533,.533,38,74,.514,70,143,213,24,16,26,37,73,266
11,Xavier Henry,20,45,0,759,90,228,.395,7,17,.412,83,211,.393,.410,52,85,.612,24,82,106,35,26,8,35,59,239
12,Lance Thomas,23,42,10,630,57,126,.452,0,1,.000,57,125,.456,.452,52,62,.839,49,77,126,12,10,7,24,78,166
13,Eric Gordon,23,9,9,310,63,140,.450,10,40,.250,53,100,.530,.486,49,65,.754,2,23,25,31,13,4,24,20,185
14,DaJuan Summers,24,15,6,209,28,65,.431,5,16,.313,23,49,.469,.469,7,9,.778,8,15,23,10,7,0,8,31,68
15,Solomon Jones,27,11,1,196,23,53,.434,0,0,,23,53,.434,.434,15,18,.833,21,20,41,7,5,6,13,31,61
16,Jerome Dyson,24,9,1,180,19,48,.396,1,8,.125,18,40,.450,.406,28,36,.778,2,17,19,18,11,2,20,19,67
17,Carldell Johnson,29,15,0,119,11,35,.314,4,15,.267,7,20,.350,.371,1,3,.333,1,8,9,22,8,0,7,11,27
18,Darryl Watkins,27,5,0,98,7,14,.500,0,0,,7,14,.500,.500,9,18,.500,8,19,27,3,5,4,8,14,23
19,Chris Johnson,26,7,0,82,9,18,.500,0,0,,9,18,.500,.500,5,7,.714,7,15,22,1,5,1,8,13,23
20,Trey Johnson,27,11,0,61,8,14,.571,0,0,,8,14,.571,.571,5,5,1.000,3,9,12,4,1,0,5,10,21
21,Donald Sloan,24,3,0,41,5,14,.357,0,2,.000,5,12,.417,.357,2,4,.500,2,1,3,8,2,0,5,2,12
22,Jeff Foote,24,4,0,39,2,6,.333,0,0,,2,6,.333,.333,0,0,,1,5,6,0,0,1,2,5,4
,Team Totals,,66,,15940,2300,5103,.451,259,777,.333,2041,4326,.472,.476,1057,1397,.757,724,1991,2715,1368,488,316,1024,1324,5916
