
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Anthony Davis,20,67,66,2358,522,1005,.519,2,9,.222,520,996,.522,.520,348,440,.791,207,466,673,105,89,189,109,200,1394
2,Eric Gordon,25,64,64,2057,356,817,.436,101,258,.391,255,559,.456,.498,175,223,.785,30,135,165,208,74,12,134,114,988
3,Al-Farouq Aminu,23,80,65,2045,234,494,.474,13,48,.271,221,446,.496,.487,91,137,.664,129,367,496,114,82,38,88,147,572
4,Tyreke Evans,24,72,22,2028,391,897,.436,21,95,.221,370,802,.461,.448,239,310,.771,76,265,341,363,84,21,175,155,1042
5,Brian Roberts,28,72,42,1667,244,581,.420,64,178,.360,180,403,.447,.475,125,133,.940,17,119,136,234,43,7,95,132,677
6,Anthony Morrow,28,76,9,1426,238,520,.458,88,195,.451,150,325,.462,.542,72,87,.828,29,111,140,59,38,12,51,102,636
7,Austin Rivers,21,69,4,1339,192,474,.405,36,99,.364,156,375,.416,.443,110,173,.636,26,103,129,160,45,9,77,134,530
8,Jrue Holiday,23,34,34,1143,203,454,.447,30,77,.390,173,377,.459,.480,51,63,.810,28,114,142,268,56,12,105,92,487
9,Greg Stiemsma,28,55,20,1007,70,122,.574,0,1,.000,70,121,.579,.574,19,32,.594,72,154,226,36,35,57,44,169,159
10,Alexis Ajinca,25,56,30,951,136,249,.546,0,1,.000,136,248,.548,.546,56,67,.836,94,183,277,40,23,46,63,187,328
11,Jason Smith,27,31,27,830,131,282,.465,0,0,,131,282,.465,.465,39,50,.780,51,130,181,29,11,29,28,100,301
12,Ryan Anderson,25,22,14,795,155,354,.438,67,164,.409,88,190,.463,.532,59,62,.952,66,76,142,17,10,7,20,47,436
13,Darius Miller,23,45,7,723,73,166,.440,25,77,.325,48,89,.539,.515,29,36,.806,9,43,52,43,24,9,22,88,200
14,Jeff Withey,23,58,4,684,69,129,.535,0,1,.000,69,128,.539,.535,52,73,.712,49,101,150,26,15,50,20,73,190
15,Luke Babbitt,24,27,2,473,60,154,.390,36,95,.379,24,59,.407,.506,14,18,.778,18,70,88,29,7,11,15,52,170
16,Lou Amundson,31,18,0,184,16,32,.500,0,0,,16,32,.500,.500,6,24,.250,28,27,55,6,9,11,14,49,38
17,Lance Thomas,25,5,0,42,2,9,.222,0,0,,2,9,.222,.222,2,4,.500,2,5,7,3,0,0,2,4,6
18,James Southerland,23,3,0,27,5,12,.417,3,5,.600,2,7,.286,.542,1,2,.500,0,8,8,0,1,2,1,3,14
19,Melvin Ely,35,2,0,27,3,6,.500,0,0,,3,6,.500,.500,0,0,,0,1,1,0,0,1,0,5,6
20,Arinze Onuaku,26,3,0,25,1,4,.250,0,0,,1,4,.250,.250,1,2,.500,2,5,7,3,0,0,1,3,3
21,Josh Childress,30,4,0,24,0,0,,0,0,,0,0,,,0,0,,0,3,3,2,1,0,1,1,0
,Team Totals,,82,,19855,3101,6761,.459,486,1303,.373,2615,5458,.479,.495,1489,1936,.769,933,2486,3419,1745,647,523,1129,1857,8177
