
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kevin Durant,21,82,82,3239,794,1668,.476,128,351,.365,666,1317,.506,.514,756,840,.900,105,518,623,231,112,84,271,171,2472
2,Jeff Green,23,82,82,3043,485,1070,.453,104,312,.333,381,758,.503,.502,165,223,.740,112,378,490,134,104,72,135,221,1239
3,Russell Westbrook,21,82,82,2813,485,1160,.418,23,104,.221,462,1056,.438,.428,329,422,.780,143,258,401,652,108,34,268,204,1322
4,Thabo Sefolosha,25,82,82,2348,194,441,.440,41,131,.313,153,310,.494,.486,60,89,.674,76,311,387,145,97,46,90,154,489
5,Nenad Krstic,26,76,76,1741,281,560,.502,1,5,.200,280,555,.505,.503,76,106,.717,134,249,383,52,32,45,58,177,639
6,James Harden,20,76,0,1738,233,578,.403,93,248,.375,140,330,.424,.484,194,240,.808,47,197,244,137,80,20,106,200,753
7,Nick Collison,29,75,5,1557,182,309,.589,1,4,.250,181,305,.593,.591,74,107,.692,152,232,384,38,37,48,63,230,439
8,Serge Ibaka,20,73,0,1323,201,370,.543,1,2,.500,200,368,.543,.545,58,92,.630,138,259,397,10,25,97,68,194,461
9,Eric Maynor,22,55,0,906,102,235,.434,17,47,.362,85,188,.452,.470,27,39,.692,11,80,91,185,27,8,57,82,248
10,Etan Thomas,31,23,1,321,31,68,.456,0,0,,31,68,.456,.456,13,22,.591,18,46,64,1,4,16,18,39,75
11,Kevin Ollie,37,25,0,263,18,45,.400,0,1,.000,18,44,.409,.400,8,8,1.000,3,22,25,20,9,0,6,16,44
12,Kyle Weaver,23,12,0,144,12,33,.364,7,19,.368,5,14,.357,.470,5,6,.833,1,17,18,11,6,6,4,13,36
13,Shaun Livingston,24,10,0,130,5,16,.313,0,2,.000,5,14,.357,.313,0,0,,4,16,20,14,5,2,8,9,10
14,D.J. White,23,12,0,102,25,41,.610,0,0,,25,41,.610,.610,9,10,.900,10,13,23,4,5,3,3,12,59
15,Mike Wilks,30,4,0,59,6,12,.500,2,3,.667,4,9,.444,.583,2,4,.500,1,3,4,4,0,0,4,5,16
16,Byron Mullens,20,13,0,54,7,19,.368,0,0,,7,19,.368,.368,0,0,,3,7,10,1,2,0,4,13,14
17,Antonio Anderson,24,1,0,15,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,0,1,0,0,0,1,1,2
18,Ryan Bowen,34,1,0,8,1,1,1.000,0,0,,1,1,1.000,1.000,2,2,1.000,1,1,2,0,1,0,0,2,4
,Team Totals,,82,,19805,3063,6629,.462,418,1229,.340,2645,5400,.490,.494,1778,2210,.805,960,2607,3567,1639,654,481,1227,1743,8322
