
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Nikola Vucevic,22,77,77,2559,461,889,.519,0,3,.000,461,886,.520,.519,86,126,.683,273,644,917,143,61,79,141,218,1008
2,Arron Afflalo,27,64,64,2307,397,905,.439,72,240,.300,325,665,.489,.478,191,223,.857,29,210,239,206,40,11,138,137,1057
3,Jameer Nelson,30,56,56,1977,306,780,.392,121,355,.341,185,425,.435,.470,89,102,.873,23,186,209,413,71,6,154,161,822
4,Maurice Harkless,19,76,59,1974,260,564,.461,32,117,.274,228,447,.510,.489,73,128,.570,122,213,335,50,88,62,69,144,625
5,E'Twaun Moore,23,75,21,1682,237,598,.396,67,197,.340,170,401,.424,.452,47,59,.797,48,119,167,206,51,23,105,122,588
6,J.J. Redick,28,50,11,1575,262,582,.450,117,300,.390,145,282,.514,.551,115,129,.891,9,110,119,220,29,5,105,70,756
7,Andrew Nicholson,23,75,28,1249,256,486,.527,0,0,,256,486,.527,.527,75,94,.798,69,189,258,44,24,32,79,133,587
8,Glen Davis,27,34,33,1064,214,478,.448,0,2,.000,214,476,.450,.448,84,117,.718,55,191,246,70,32,21,64,88,512
9,Tobias Harris,20,27,20,974,180,397,.453,27,87,.310,153,310,.494,.487,80,111,.721,56,174,230,56,24,37,48,89,467
10,DeQuan Jones,22,63,17,803,95,218,.436,9,35,.257,86,183,.470,.456,34,51,.667,17,88,105,16,19,22,30,55,233
11,Beno Udrih,30,27,9,738,97,238,.408,21,53,.396,76,185,.411,.452,60,70,.857,17,46,63,164,25,1,55,51,275
12,Josh McRoberts,25,41,3,685,60,153,.392,17,55,.309,43,98,.439,.448,22,30,.733,41,96,137,70,10,12,28,65,159
13,Kyle O'Quinn,22,57,5,638,101,197,.513,0,1,.000,101,196,.515,.513,30,45,.667,65,144,209,52,11,26,37,107,232
14,Gustavo Ayon,27,43,3,571,67,125,.536,0,0,,67,125,.536,.536,19,38,.500,40,100,140,59,13,13,38,83,153
15,Ish Smith,24,36,3,378,39,116,.336,4,17,.235,35,99,.354,.353,3,7,.429,11,35,46,57,13,6,27,14,85
16,Doron Lamb,21,24,0,297,27,68,.397,10,21,.476,17,47,.362,.471,12,19,.632,5,24,29,12,6,0,10,25,76
17,Hedo Turkoglu,33,11,1,189,14,53,.264,1,24,.042,13,29,.448,.274,3,6,.500,4,22,26,23,7,1,12,11,32
18,Al Harrington,32,10,0,119,20,57,.351,8,30,.267,12,27,.444,.421,3,4,.750,6,21,27,10,4,1,7,18,51
,Team Totals,,82,,19780,3093,6904,.448,506,1537,.329,2587,5367,.482,.485,1026,1359,.755,890,2612,3502,1871,528,358,1191,1591,7718
