
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Nerlens Noel,20,75,71,2311,302,653,.462,0,0,,302,653,.462,.462,140,230,.609,185,426,611,128,133,142,146,208,744
2,Robert Covington,24,70,49,1956,299,756,.396,167,446,.374,132,310,.426,.506,178,217,.820,65,251,316,105,97,31,128,189,943
3,Luc Mbah a Moute,28,67,61,1916,251,636,.395,62,202,.307,189,434,.435,.443,96,163,.589,82,246,328,106,81,21,99,104,660
4,Hollis Thompson,23,71,23,1776,224,543,.413,115,287,.401,109,256,.426,.518,63,89,.708,53,145,198,85,57,26,66,141,626
5,Henry Sims,24,73,32,1399,238,502,.474,4,22,.182,234,480,.488,.478,106,137,.774,121,238,359,79,39,30,99,135,586
6,Michael Carter-Williams,23,41,38,1391,232,611,.380,32,125,.256,200,486,.412,.406,117,182,.643,43,211,254,302,60,18,174,103,613
7,Jerami Grant,20,65,11,1377,124,352,.352,49,156,.314,75,196,.383,.422,114,193,.591,49,149,198,79,40,68,85,144,411
8,K.J. McDaniels,21,52,15,1319,167,419,.399,43,147,.293,124,272,.456,.450,99,131,.756,64,131,195,70,44,68,104,121,476
9,JaKarr Sampson,21,74,32,1131,146,346,.422,31,127,.244,115,219,.525,.467,63,94,.670,35,128,163,77,38,26,76,135,386
10,Tony Wroten,21,30,15,895,175,434,.403,37,142,.261,138,292,.473,.446,120,180,.667,22,64,86,157,48,8,113,72,507
11,Ish Smith,26,25,14,677,128,322,.398,17,55,.309,111,267,.416,.424,28,48,.583,10,63,73,152,32,5,69,38,301
12,Isaiah Canaan,23,22,12,569,93,247,.377,59,162,.364,34,85,.400,.496,33,39,.846,7,47,54,69,15,3,39,55,278
13,Furkan Aldemir,23,41,9,540,40,78,.513,0,5,.000,40,73,.548,.513,13,27,.481,78,98,176,28,17,16,17,96,93
14,Jason Richardson,34,19,15,416,62,178,.348,31,96,.323,31,82,.378,.435,17,22,.773,13,53,66,38,13,3,16,28,172
15,Thomas Robinson,23,22,0,407,79,169,.467,0,2,.000,79,167,.473,.467,35,58,.603,62,108,170,24,16,9,26,50,193
16,Brandon Davies,23,20,6,379,49,119,.412,7,30,.233,42,89,.472,.441,21,33,.636,35,38,73,28,17,4,25,54,126
17,Alexey Shved,26,17,0,285,52,130,.400,17,57,.298,35,73,.479,.465,48,57,.842,8,14,22,46,14,1,18,21,169
18,Larry Drew,24,12,1,219,20,58,.345,4,26,.154,16,32,.500,.379,2,3,.667,1,14,15,45,6,0,25,13,46
19,Malcolm Thomas,26,17,0,194,18,40,.450,0,7,.000,18,33,.545,.450,9,13,.692,16,40,56,7,3,1,13,17,45
20,Chris Johnson,24,9,2,187,19,60,.317,10,39,.256,9,21,.429,.400,6,8,.750,3,23,26,3,9,5,9,19,54
21,Tim Frazier,24,6,3,171,13,43,.302,3,11,.273,10,32,.313,.337,5,15,.333,4,15,19,43,6,0,18,16,34
22,Glenn Robinson III,21,10,1,153,18,43,.419,4,13,.308,14,30,.467,.465,4,8,.500,11,14,25,8,3,1,8,10,44
23,Drew Gordon,24,9,0,71,8,19,.421,0,3,.000,8,16,.500,.421,1,2,.500,7,11,18,2,1,0,8,7,17
24,JaVale McGee,27,6,0,61,8,18,.444,0,0,,8,18,.444,.444,2,4,.500,4,9,13,2,0,1,5,2,18
25,Malcolm Lee,24,1,0,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
,Team Totals,,82,,19805,2765,6777,.408,692,2160,.320,2073,4617,.449,.459,1320,1953,.676,978,2536,3514,1683,789,487,1453,1778,7542
