
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,LaMarcus Aldridge,25,81,81,3211,707,1415,.500,4,23,.174,703,1392,.505,.501,351,444,.791,278,431,709,170,82,94,153,220,1769
2,Wesley Matthews,24,82,69,2758,440,979,.449,154,378,.407,286,601,.476,.528,266,315,.844,48,210,258,164,102,9,138,195,1300
3,Andre Miller,34,81,81,2650,388,844,.460,4,37,.108,384,807,.476,.462,249,292,.853,97,205,302,566,114,12,197,171,1029
4,Nicolas Batum,22,80,67,2522,367,807,.455,118,342,.345,249,465,.535,.528,138,164,.841,109,252,361,123,68,49,83,194,990
5,Rudy Fernandez,25,78,3,1821,213,575,.370,116,361,.321,97,214,.453,.471,126,146,.863,37,135,172,193,87,14,88,134,668
6,Marcus Camby,36,59,51,1540,117,294,.398,0,1,.000,117,293,.399,.398,43,70,.614,182,424,606,121,40,92,62,140,277
7,Brandon Roy,26,47,23,1310,209,523,.400,38,114,.333,171,409,.418,.436,117,138,.848,28,93,121,129,37,12,55,76,573
8,Dante Cunningham,23,56,9,1108,126,291,.433,0,4,.000,126,287,.439,.433,32,45,.711,73,116,189,30,39,32,33,139,284
9,Gerald Wallace,28,23,15,821,134,269,.498,27,80,.338,107,189,.566,.548,69,90,.767,39,136,175,57,46,15,52,63,364
10,Patrick Mills,22,64,0,783,135,328,.412,47,133,.353,88,195,.451,.483,36,47,.766,19,32,51,109,27,1,62,63,353
11,Joel Przybilla,31,31,9,445,21,34,.618,0,0,,21,34,.618,.618,13,23,.565,28,93,121,13,5,14,22,63,55
12,Armon Johnson,21,38,0,277,46,101,.455,5,12,.417,41,89,.461,.480,13,22,.591,11,25,36,45,5,1,38,31,110
13,Sean Marks,35,29,0,208,19,44,.432,2,2,1.000,17,42,.405,.455,5,8,.625,16,24,40,4,3,5,11,44,45
14,Luke Babbitt,21,24,0,137,15,55,.273,3,16,.188,12,39,.308,.300,3,9,.333,6,24,30,6,2,2,8,15,36
15,Chris Johnson,25,10,1,106,7,18,.389,0,0,,7,18,.389,.389,13,18,.722,11,16,27,2,3,6,8,18,27
16,Fabricio Oberto,35,5,0,45,3,5,.600,0,0,,3,5,.600,.600,1,2,.500,3,4,7,0,0,0,3,10,7
17,Earl Barron,29,2,1,37,3,11,.273,0,0,,3,11,.273,.273,1,2,.500,4,10,14,3,0,0,3,4,7
18,Jarron Collins,32,5,0,24,1,6,.167,0,0,,1,6,.167,.167,0,0,,7,0,7,1,0,0,2,5,2
,Team Totals,,82,,19805,2951,6599,.447,518,1503,.345,2433,5096,.477,.486,1476,1835,.804,996,2230,3226,1736,660,358,1070,1585,7896
