
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mike Bibby,27,82,82,3167,597,1382,.432,192,497,.386,405,885,.458,.501,342,403,.849,29,211,240,444,82,10,199,169,1728
2,Brad Miller,29,79,79,2923,434,877,.495,34,88,.386,400,789,.507,.514,280,338,.828,122,493,615,374,61,62,180,234,1182
3,Kenny Thomas,28,82,55,2293,305,604,.505,0,1,.000,305,603,.506,.505,138,204,.676,199,419,618,168,72,39,135,196,748
4,Shareef Abdur-Rahim,29,72,30,1961,332,632,.525,5,22,.227,327,610,.536,.529,218,278,.784,106,251,357,149,48,42,108,227,887
5,Kevin Martin,22,72,41,1913,262,546,.480,66,179,.369,196,367,.534,.540,188,222,.847,58,203,261,97,55,9,81,138,778
6,Bonzi Wells,29,52,41,1684,284,613,.463,10,45,.222,274,568,.482,.471,129,190,.679,142,259,401,144,94,25,126,156,707
7,Metta World Peace,26,40,40,1604,241,630,.383,60,199,.302,181,431,.420,.430,132,184,.717,49,159,208,168,80,30,88,119,674
8,Francisco Garcia,24,67,11,1301,130,325,.400,39,137,.285,91,188,.484,.460,78,101,.772,39,146,185,94,41,47,75,135,377
9,Peja Stojakovic,28,31,31,1147,171,424,.403,71,179,.397,100,245,.408,.487,98,105,.933,34,131,165,68,19,2,51,82,511
10,Jason Hart,27,66,0,818,86,221,.389,9,31,.290,77,190,.405,.410,37,56,.661,12,59,71,70,31,5,43,85,218
11,Brian Skinner,29,38,0,429,38,69,.551,0,0,,38,69,.551,.551,12,27,.444,30,71,101,17,11,20,18,54,88
12,Corliss Williamson,32,37,0,362,43,103,.417,2,2,1.000,41,101,.406,.427,38,49,.776,21,46,67,14,7,4,30,56,126
13,Ronnie Price,22,29,0,150,21,58,.362,6,27,.222,15,31,.484,.414,12,12,1.000,5,10,15,11,6,0,10,10,60
14,Jamal Sampson,22,12,0,39,5,7,.714,0,0,,5,7,.714,.714,0,2,.000,5,13,18,5,0,4,0,5,10
15,Vitaly Potapenko,30,9,0,32,5,7,.714,0,0,,5,7,.714,.714,0,0,,1,1,2,2,0,0,2,6,10
16,Sergei Monia,22,3,0,7,0,2,.000,0,1,.000,0,1,.000,.000,2,2,1.000,0,1,1,0,1,0,0,0,2
,Team Totals,,82,,19830,2954,6500,.454,494,1408,.351,2460,5092,.483,.492,1704,2173,.784,852,2473,3325,1825,608,299,1199,1672,8106
