
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tim Duncan,29,80,80,2784,574,1185,.484,2,5,.400,572,1180,.485,.485,335,533,.629,231,650,881,253,70,162,198,219,1485
2,Bruce Bowen,34,82,82,2755,232,536,.433,104,245,.424,128,291,.440,.530,51,84,.607,35,285,320,126,79,30,67,191,619
3,Tony Parker,23,80,80,2715,623,1136,.548,11,36,.306,612,1100,.556,.553,253,358,.707,38,223,261,460,83,4,249,161,1510
4,Michael Finley,32,77,18,2038,286,695,.412,110,279,.394,176,416,.423,.491,98,115,.852,31,216,247,116,37,7,62,97,780
5,Manu Ginobili,28,65,56,1813,309,669,.462,83,217,.382,226,452,.500,.524,280,360,.778,42,188,230,235,101,26,121,156,981
6,Rasho Nesterovic,29,80,51,1515,172,334,.515,0,2,.000,172,332,.518,.515,18,30,.600,114,195,309,33,21,88,53,209,362
7,Nazr Mohammed,28,80,30,1389,190,377,.504,0,0,,190,377,.504,.504,113,144,.785,163,255,418,40,21,49,91,220,493
8,Brent Barry,34,74,5,1259,156,345,.452,80,202,.396,76,143,.531,.568,39,59,.661,29,130,159,123,39,27,52,99,431
9,Robert Horry,35,63,3,1182,112,292,.384,53,144,.368,59,148,.399,.474,44,68,.647,71,171,242,79,43,51,41,115,321
10,Nick Van Exel,34,65,2,986,136,343,.397,55,154,.357,81,189,.429,.477,28,41,.683,6,85,91,123,16,3,57,60,355
11,Beno Udrih,23,54,3,586,106,233,.455,24,70,.343,82,163,.503,.506,39,50,.780,18,34,52,92,14,2,53,55,275
12,Fabricio Oberto,30,59,0,490,44,93,.473,0,2,.000,44,91,.484,.473,15,27,.556,57,66,123,27,9,11,28,91,103
13,Sean Marks,30,25,0,181,37,71,.521,0,3,.000,37,68,.544,.521,7,12,.583,12,31,43,7,5,7,7,21,81
14,Melvin Sanders,25,16,0,113,16,33,.485,2,3,.667,14,30,.467,.515,7,10,.700,4,19,23,3,5,0,8,20,41
15,Alex Scales,27,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
,Team Totals,,82,,19805,2993,6342,.472,524,1362,.385,2469,4980,.496,.513,1327,1891,.702,851,2548,3399,1717,543,467,1126,1714,7837
