
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Chris Wilcox,24,82,81,2586,433,819,.529,0,6,.000,433,813,.533,.529,240,351,.684,178,451,629,82,70,38,127,248,1106
2,Nick Collison,26,82,56,2378,318,636,.500,0,2,.000,318,634,.502,.500,154,199,.774,229,437,666,82,48,66,123,289,790
3,Rashard Lewis,27,60,60,2348,463,1005,.461,151,387,.390,312,618,.505,.536,265,315,.841,91,305,396,145,68,39,118,143,1342
4,Ray Allen,31,55,55,2219,505,1153,.438,165,443,.372,340,710,.479,.510,279,309,.903,57,190,247,228,82,11,154,113,1454
5,Earl Watson,27,77,25,2152,263,687,.383,92,280,.329,171,407,.420,.450,108,147,.735,34,151,185,437,99,23,167,152,726
6,Luke Ridnour,25,71,58,2091,301,695,.433,49,139,.353,252,556,.453,.468,128,159,.805,28,136,164,368,83,19,156,181,779
7,Damien Wilkins,27,82,31,2037,262,602,.435,50,122,.410,212,480,.442,.477,150,170,.882,87,142,229,156,92,16,116,157,724
8,Johan Petro,21,81,13,1510,226,438,.516,0,0,,226,438,.516,.516,50,77,.649,92,243,335,45,39,47,82,237,502
9,Mickael Gelabale,23,70,14,1239,122,264,.462,11,47,.234,111,217,.512,.483,66,82,.805,59,114,173,56,24,22,49,108,321
10,Mike Wilks,27,47,4,534,66,141,.468,5,15,.333,61,126,.484,.486,33,42,.786,15,39,54,79,15,4,31,53,170
11,Andre Brown,25,38,0,271,42,74,.568,0,1,.000,42,73,.575,.568,9,15,.600,26,48,74,2,6,4,29,26,93
12,Mouhamed Sene,20,28,3,169,18,49,.367,0,0,,18,49,.367,.367,17,29,.586,16,29,45,0,3,12,11,33,53
13,Danny Fortson,30,14,6,158,15,30,.500,0,1,.000,15,29,.517,.500,10,13,.769,13,30,43,1,1,0,15,38,40
14,Andreas Glyniadakis,25,13,4,81,8,17,.471,0,0,,8,17,.471,.471,1,2,.500,2,6,8,1,0,0,9,19,17
15,Desmon Farmer,25,8,0,32,5,15,.333,2,8,.250,3,7,.429,.400,1,1,1.000,0,1,1,9,1,0,1,2,13
16,Randy Livingston,31,4,0,26,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,0,1,4,0,0,1,2,0
,Team Totals,,82,,19830,3047,6628,.460,525,1451,.362,2522,5177,.487,.499,1511,1911,.791,928,2322,3250,1695,631,301,1268,1801,8130
