
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Anthony Parker,32,82,82,2634,395,829,.476,133,304,.438,262,525,.499,.557,102,125,.816,50,284,334,183,79,17,87,157,1025
2,Jose Calderon,26,82,56,2484,367,707,.519,79,184,.429,288,523,.551,.575,109,120,.908,34,202,236,678,87,6,126,134,922
3,Chris Bosh,23,67,67,2425,507,1027,.494,10,25,.400,497,1002,.496,.499,472,559,.844,174,409,583,171,63,67,153,157,1496
4,Jamario Moon,27,78,75,2166,279,575,.485,40,122,.328,239,453,.528,.520,63,85,.741,92,392,484,90,80,108,51,152,661
5,Carlos Delfino,25,82,0,1928,251,632,.397,120,314,.382,131,318,.412,.492,116,156,.744,66,293,359,145,69,11,75,177,738
6,Andrea Bargnani,22,78,53,1861,280,725,.386,90,261,.345,190,464,.409,.448,142,169,.840,50,238,288,89,23,37,88,211,792
7,Jason Kapono,26,81,7,1530,243,498,.488,57,118,.483,186,380,.489,.545,37,43,.860,31,89,120,65,34,2,58,131,580
8,Rasho Nesterovic,31,71,39,1486,257,467,.550,1,3,.333,256,464,.552,.551,37,49,.755,130,212,342,82,20,52,60,132,552
9,T.J. Ford,24,51,26,1199,246,524,.469,15,51,.294,231,473,.488,.484,110,125,.880,23,77,100,313,54,0,102,93,617
10,Kris Humphries,22,70,0,925,161,333,.483,0,2,.000,161,331,.486,.483,75,124,.605,90,169,259,28,25,28,47,107,397
11,Juan Dixon,29,36,0,424,59,160,.369,17,39,.436,42,121,.347,.422,18,19,.947,9,38,47,65,21,2,35,38,153
12,Joey Graham,25,38,3,331,49,113,.434,2,3,.667,47,110,.427,.442,38,45,.844,18,49,67,15,3,0,23,47,138
13,Darrick Martin,36,17,0,141,10,43,.233,2,16,.125,8,27,.296,.256,5,6,.833,3,4,7,21,6,0,1,12,27
14,Primoz Brezec,28,13,0,110,17,38,.447,0,0,,17,38,.447,.447,14,21,.667,9,9,18,1,1,2,4,25,48
15,Maceo Baston,32,15,2,103,17,25,.680,0,0,,17,25,.680,.680,7,10,.700,9,17,26,3,2,4,4,20,41
16,Jorge Garbajosa,30,7,0,74,8,25,.320,6,16,.375,2,9,.222,.440,0,0,,2,13,15,3,3,0,1,2,22
17,Linton Johnson,27,2,0,10,2,5,.400,0,1,.000,2,4,.500,.400,2,2,1.000,0,1,1,1,0,0,3,1,6
,Team Totals,,82,,19830,3148,6726,.468,572,1459,.392,2576,5267,.489,.511,1347,1658,.812,790,2496,3286,1953,570,336,959,1596,8215
