
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Deron Williams,25,76,76,2802,494,1053,.469,96,259,.371,398,794,.501,.515,335,418,.801,50,253,303,798,96,16,252,208,1419
2,Carlos Boozer,28,78,78,2673,617,1098,.562,0,0,,617,1098,.562,.562,285,384,.742,181,693,874,247,84,36,212,270,1519
3,Paul Millsap,24,82,8,2277,385,716,.538,1,9,.111,384,707,.543,.538,183,264,.693,186,373,559,131,64,99,116,285,954
4,Mehmet Okur,30,73,73,2149,355,775,.458,82,213,.385,273,562,.486,.511,196,239,.820,132,383,515,119,38,81,127,223,988
5,Wesley Matthews,23,82,48,2025,273,565,.483,63,165,.382,210,400,.525,.539,160,193,.829,50,141,191,124,64,15,93,152,769
6,Andrei Kirilenko,28,58,35,1681,244,482,.506,26,89,.292,218,393,.555,.533,174,234,.744,76,188,264,158,83,71,79,102,688
7,Ronnie Brewer,24,53,53,1662,206,416,.495,8,31,.258,198,385,.514,.505,81,128,.633,44,136,180,151,85,15,51,80,501
8,C.J. Miles,22,63,28,1497,241,562,.429,74,217,.341,167,345,.484,.495,66,95,.695,42,126,168,105,58,17,81,190,622
9,Kyle Korver,28,52,0,952,138,280,.493,59,110,.536,79,170,.465,.598,39,49,.796,10,101,111,89,26,12,42,76,374
10,Ronnie Price,26,60,4,806,98,242,.405,18,63,.286,80,179,.447,.442,41,59,.695,28,46,74,123,40,13,56,109,255
11,Kyrylo Fesenko,23,49,5,408,52,95,.547,0,1,.000,52,94,.553,.547,24,57,.421,33,57,90,15,6,19,24,78,128
12,Eric Maynor,22,26,2,363,52,133,.391,5,24,.208,47,109,.431,.410,25,33,.758,10,28,38,81,13,2,28,33,134
13,Sundiata Gaines,23,32,0,217,38,82,.463,7,26,.269,31,56,.554,.506,23,46,.500,6,23,29,39,12,0,14,17,106
14,Kosta Koufos,20,36,0,172,22,47,.468,0,0,,22,47,.468,.468,9,15,.600,16,29,45,6,2,4,15,26,53
15,Othyus Jeffers,24,14,0,73,12,29,.414,0,0,,12,29,.414,.414,13,19,.684,8,11,19,1,4,0,6,10,37
,Team Totals,,82,,19755,3227,6575,.491,439,1207,.364,2788,5368,.519,.524,1654,2233,.741,872,2588,3460,2187,675,400,1246,1859,8547
