
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Gilbert Arenas,23,80,80,3274,656,1523,.431,205,562,.365,451,961,.469,.498,521,640,.814,83,295,378,411,139,23,242,245,2038
2,Antawn Jamison,28,68,68,2605,519,1189,.437,71,208,.341,448,981,.457,.466,225,296,.760,160,359,519,154,55,16,118,151,1334
3,Larry Hughes,26,61,61,2358,467,1086,.430,59,209,.282,408,877,.465,.457,352,453,.777,74,308,382,285,176,18,153,168,1345
4,Jared Jeffries,23,77,71,2007,203,434,.468,16,51,.314,187,383,.488,.486,101,173,.584,152,222,374,151,66,35,114,206,523
5,Brendan Haywood,25,68,68,1865,239,427,.560,0,0,,239,427,.560,.560,159,261,.609,202,262,464,57,52,114,96,218,637
6,Jarvis Hayes,23,54,22,1560,206,530,.389,42,123,.341,164,407,.403,.428,99,118,.839,41,186,227,90,49,9,62,107,553
7,Michael Ruffin,28,79,7,1262,41,99,.414,0,1,.000,41,98,.418,.414,29,67,.433,157,175,332,64,43,41,44,193,111
8,Juan Dixon,26,63,4,1054,186,447,.416,48,147,.327,138,300,.460,.470,87,97,.897,32,87,119,111,43,4,68,98,507
9,Etan Thomas,26,47,10,976,128,255,.502,0,0,,128,255,.502,.502,76,144,.528,85,159,244,20,17,51,50,133,332
10,Kwame Brown,22,42,14,908,109,237,.460,0,0,,109,237,.460,.460,74,129,.574,72,134,206,39,25,15,67,112,292
11,Steve Blake,24,44,1,648,61,186,.328,36,93,.387,25,93,.269,.425,33,41,.805,18,53,71,69,13,0,39,47,191
12,Anthony Peeler,35,40,0,529,56,150,.373,25,65,.385,31,85,.365,.457,16,18,.889,14,51,65,57,18,2,28,39,153
13,Laron Profit,27,42,4,428,56,128,.438,8,28,.286,48,100,.480,.469,16,25,.640,24,52,76,37,16,5,27,44,136
14,Damone Brown,25,14,0,152,23,62,.371,4,11,.364,19,51,.373,.403,4,9,.444,10,18,28,14,1,6,15,17,54
15,Samaki Walker,28,14,0,134,11,31,.355,0,0,,11,31,.355,.355,2,3,.667,8,10,18,4,3,7,8,25,24
16,Peter John Ramos,19,6,0,20,5,10,.500,0,0,,5,10,.500,.500,1,2,.500,1,3,4,0,0,1,3,4,11
,Team Totals,,82,,19780,2966,6794,.437,514,1498,.343,2452,5296,.463,.474,1795,2476,.725,1133,2374,3507,1563,716,347,1172,1807,8241
