
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Al Horford,26,74,74,2756,576,1060,.543,3,6,.500,573,1054,.544,.545,134,208,.644,195,562,757,240,78,78,147,163,1289
2,Josh Smith,27,76,76,2683,550,1182,.465,61,201,.303,489,981,.498,.491,166,321,.517,133,506,639,321,94,136,226,175,1327
3,Jeff Teague,24,80,78,2628,439,974,.451,89,248,.359,350,726,.482,.496,199,226,.881,25,155,180,579,117,28,230,181,1166
4,Kyle Korver,31,74,60,2259,277,601,.461,189,414,.457,88,187,.471,.618,67,78,.859,23,270,293,146,70,37,70,170,810
5,Devin Harris,29,58,34,1421,194,443,.438,77,230,.335,117,213,.549,.525,112,154,.727,6,110,116,197,64,13,88,103,577
6,DeShawn Stevenson,31,56,31,1158,98,262,.374,76,209,.364,22,53,.415,.519,12,23,.522,18,104,122,52,29,6,23,69,284
7,Zaza Pachulia,28,52,15,1134,114,241,.473,0,3,.000,114,238,.479,.473,78,103,.757,132,204,336,79,35,12,70,128,306
8,Lou Williams,26,39,9,1119,187,443,.422,72,196,.367,115,247,.466,.503,105,121,.868,8,72,80,139,44,10,74,55,551
9,Ivan Johnson,28,69,5,1035,185,356,.520,1,13,.077,184,343,.536,.521,81,131,.618,76,190,266,46,56,14,71,131,452
10,Anthony Tolliver,27,62,11,963,82,216,.380,45,133,.338,37,83,.446,.484,44,51,.863,31,124,155,32,15,12,36,66,253
11,John Jenkins,21,61,2,902,131,294,.446,53,138,.384,78,156,.500,.536,59,70,.843,17,77,94,56,12,10,40,37,374
12,Dahntay Jones,32,28,4,381,32,82,.390,3,12,.250,29,70,.414,.409,21,31,.677,11,20,31,20,12,1,16,46,88
13,Mike Scott,24,40,1,376,70,147,.476,0,1,.000,70,146,.479,.476,43,56,.768,39,71,110,12,4,2,21,32,183
14,Johan Petro,27,31,8,352,48,110,.436,1,4,.250,47,106,.443,.441,11,12,.917,33,79,112,16,10,9,24,48,108
15,Anthony Morrow,27,24,1,301,47,111,.423,15,38,.395,32,73,.438,.491,16,18,.889,10,16,26,9,12,1,4,33,125
16,Shelvin Mack,22,20,1,268,41,84,.488,14,35,.400,27,49,.551,.571,8,14,.571,0,24,24,44,9,0,24,28,104
17,Jannero Pargo,33,7,0,113,13,38,.342,7,20,.350,6,18,.333,.434,2,2,1.000,1,6,7,19,3,0,5,8,35
18,Jeremy Tyler,21,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,3,3,0,0,0,0,0,0
,Team Totals,,82,,19855,3084,6644,.464,706,1901,.371,2378,4743,.501,.517,1158,1619,.715,758,2593,3351,2007,664,369,1219,1473,8032
