
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Avery Bradley,24,77,77,2428,434,1012,.429,124,352,.352,310,660,.470,.490,79,100,.790,46,195,241,135,82,15,109,177,1071
2,Evan Turner,26,82,57,2260,320,746,.429,33,119,.277,287,627,.458,.451,106,141,.752,40,377,417,449,83,19,198,180,779
3,Brandon Bass,29,82,43,1929,344,683,.504,9,32,.281,335,651,.515,.510,169,214,.790,139,259,398,104,41,32,83,140,866
4,Marcus Smart,20,67,38,1808,175,477,.367,91,272,.335,84,205,.410,.462,82,127,.646,61,161,222,208,99,18,90,176,523
5,Tyler Zeller,25,82,59,1731,340,619,.549,0,0,,340,619,.549,.549,153,186,.823,146,319,465,113,18,52,76,205,833
6,Jared Sullinger,22,58,49,1566,311,708,.439,52,184,.283,259,524,.494,.476,96,129,.744,147,294,441,134,44,42,78,153,770
7,Kelly Olynyk,23,64,13,1423,251,528,.475,61,175,.349,190,353,.538,.533,93,136,.684,92,211,303,109,64,39,98,213,656
8,Jae Crowder,24,57,17,1382,196,469,.418,48,170,.282,148,299,.495,.469,99,130,.762,60,204,264,82,57,20,39,111,539
9,Jeff Green,28,33,33,1093,206,475,.434,47,154,.305,159,321,.495,.483,121,144,.840,21,120,141,53,27,13,56,66,580
10,Rajon Rondo,28,22,22,699,81,200,.405,8,32,.250,73,168,.435,.425,12,36,.333,25,140,165,237,37,3,75,42,182
11,Marcus Thornton,27,39,0,640,127,305,.416,52,124,.419,75,181,.414,.502,42,51,.824,19,54,73,34,21,7,22,35,348
12,Phil Pressey,23,50,0,600,64,174,.368,16,65,.246,48,109,.440,.414,33,49,.673,13,67,80,117,30,6,41,54,177
13,Isaiah Thomas,25,21,0,545,117,285,.411,48,139,.345,69,146,.473,.495,118,137,.861,7,37,44,113,12,0,54,45,400
14,Jonas Jerebko,27,29,0,527,78,181,.431,26,64,.406,52,117,.444,.503,25,30,.833,46,94,140,30,19,7,18,58,207
15,James Young,19,31,0,332,36,102,.353,17,66,.258,19,36,.528,.436,16,29,.552,9,33,42,13,8,2,5,22,105
16,Gerald Wallace,32,32,0,286,14,34,.412,1,3,.333,13,31,.419,.426,6,15,.400,17,40,57,11,15,4,18,19,35
17,Tayshaun Prince,34,9,0,198,33,59,.559,5,8,.625,28,51,.549,.602,5,6,.833,6,24,30,18,5,2,4,7,76
18,Luigi Datome,27,18,1,192,38,77,.494,17,36,.472,21,41,.512,.604,1,1,1.000,2,23,25,7,1,7,7,14,94
19,Jameer Nelson,32,6,1,121,9,41,.220,5,25,.200,4,16,.250,.280,6,9,.667,3,14,17,33,7,0,9,13,29
20,Brandan Wright,27,8,0,86,12,21,.571,0,0,,12,21,.571,.571,2,4,.500,7,10,17,8,1,5,5,4,26
21,Shavlik Randolph,31,5,0,25,3,10,.300,0,1,.000,3,9,.333,.300,1,2,.500,4,8,12,1,1,1,1,3,7
22,Dwight Powell,23,5,0,9,4,5,.800,0,0,,4,5,.800,.800,1,2,.500,0,1,1,0,2,0,2,1,9
,Team Totals,,82,,19880,3193,7211,.443,660,2021,.327,2533,5190,.488,.489,1266,1678,.754,910,2685,3595,2009,674,294,1133,1738,8312
