
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Joe Johnson,33,80,80,2791,446,1025,.435,121,337,.359,325,688,.472,.494,141,176,.801,53,331,384,292,59,14,137,120,1154
2,Jarrett Jack,31,80,27,2241,359,817,.439,39,146,.267,320,671,.477,.463,200,227,.881,19,226,245,373,75,13,191,143,957
3,Deron Williams,30,68,55,2114,298,771,.387,87,237,.367,211,534,.395,.443,201,241,.834,29,208,237,448,64,17,154,157,884
4,Brook Lopez,26,72,44,2100,506,987,.513,1,10,.100,505,977,.517,.513,223,274,.814,214,321,535,50,43,126,104,206,1236
5,Bojan Bogdanovic,25,78,28,1854,261,576,.453,91,256,.355,170,320,.531,.532,87,106,.821,50,163,213,68,34,9,78,104,700
6,Alan Anderson,32,74,19,1744,195,440,.443,73,210,.348,122,230,.530,.526,82,101,.812,31,173,204,83,56,5,60,148,545
7,Mason Plumlee,24,82,45,1743,280,489,.573,0,3,.000,280,486,.576,.573,157,317,.495,175,337,512,74,65,63,106,207,717
8,Mirza Teletovic,29,40,4,892,122,319,.382,62,193,.321,60,126,.476,.480,33,46,.717,27,167,194,46,14,16,53,74,339
9,Kevin Garnett,38,42,42,854,125,275,.455,1,6,.167,124,269,.461,.456,34,41,.829,46,239,285,69,41,13,45,96,285
10,Thaddeus Young,26,28,20,829,162,327,.495,19,50,.380,143,277,.516,.524,43,71,.606,52,114,166,38,38,8,42,56,386
11,Markel Brown,23,47,29,781,76,210,.362,17,64,.266,59,146,.404,.402,47,57,.825,16,91,107,39,31,12,27,57,216
12,Sergey Karasev,21,33,16,555,54,134,.403,16,54,.296,38,80,.475,.463,29,38,.763,22,44,66,46,23,1,24,45,153
13,Cory Jefferson,24,50,1,531,75,167,.449,2,15,.133,73,152,.480,.455,31,54,.574,47,98,145,16,10,21,20,61,183
14,Jerome Jordan,28,44,0,383,50,94,.532,0,0,,50,94,.532,.532,38,44,.864,52,53,105,13,8,15,22,58,138
15,Darius Morris,24,38,0,299,36,106,.340,7,33,.212,29,73,.397,.373,4,9,.444,7,20,27,48,9,0,21,20,83
16,Earl Clark,27,10,0,93,11,30,.367,4,14,.286,7,16,.438,.433,1,4,.250,1,22,23,3,3,4,6,12,27
17,Brandon Davies,23,7,0,44,6,18,.333,1,4,.250,5,14,.357,.361,3,4,.750,3,7,10,2,1,3,4,5,16
18,Jorge Gutierrez,26,10,0,44,7,14,.500,0,1,.000,7,13,.538,.500,2,3,.667,0,7,7,7,1,0,3,9,16
19,Andrei Kirilenko,33,7,0,36,0,5,.000,0,0,,0,5,.000,.000,3,4,.750,2,6,8,1,1,0,1,1,3
,Team Totals,,82,,19930,3069,6804,.451,541,1633,.331,2528,5171,.489,.491,1359,1817,.748,846,2627,3473,1716,576,340,1133,1579,8038
