
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Gerald Wallace,27,76,76,3119,456,943,.484,52,140,.371,404,803,.503,.511,422,544,.776,150,612,762,161,117,83,178,194,1386
2,Boris Diaw,27,82,82,2906,373,773,.483,66,206,.320,307,567,.541,.525,113,147,.769,131,293,424,325,60,57,178,219,925
3,Stephen Jackson,31,72,72,2829,544,1285,.423,118,353,.334,426,932,.457,.469,312,397,.786,72,294,366,258,118,37,233,181,1518
4,Raymond Felton,25,80,80,2643,388,846,.459,60,156,.385,328,690,.475,.494,132,173,.763,53,235,288,446,123,22,168,172,968
5,D.J. Augustin,22,80,2,1472,168,435,.386,70,178,.393,98,257,.381,.467,102,131,.779,11,86,97,193,45,5,74,127,508
6,Tyson Chandler,27,51,27,1163,109,190,.574,0,0,,109,190,.574,.574,115,157,.732,114,206,320,16,17,55,91,138,333
7,Ronald Murray,30,46,1,993,160,411,.389,41,131,.313,119,280,.425,.439,93,131,.710,15,83,98,84,28,12,65,77,454
8,Nazr Mohammed,32,58,29,984,189,342,.553,0,0,,189,342,.553,.553,81,125,.648,114,190,304,28,15,43,53,105,459
9,Stephen Graham,27,70,8,804,119,240,.496,16,50,.320,103,190,.542,.529,42,65,.646,24,111,135,23,20,10,36,94,296
10,Theo Ratliff,36,28,26,624,54,116,.466,0,0,,54,116,.466,.466,36,46,.783,44,73,117,16,9,43,25,60,144
11,Tyrus Thomas,23,25,0,542,95,215,.442,0,2,.000,95,213,.446,.442,62,85,.729,39,113,152,23,23,37,40,65,252
12,Derrick Brown,22,57,0,535,68,147,.463,2,7,.286,66,140,.471,.469,48,72,.667,31,47,78,19,21,10,19,53,186
13,Gerald Henderson,22,43,0,355,37,104,.356,4,19,.211,33,85,.388,.375,35,47,.745,15,40,55,13,10,9,14,25,113
14,Larry Hughes,31,14,2,295,35,107,.327,15,42,.357,20,65,.308,.397,29,34,.853,7,25,32,28,12,4,19,17,114
15,DeSagana Diop,28,27,0,262,15,29,.517,0,0,,15,29,.517,.517,2,9,.222,24,41,65,5,5,14,12,31,32
16,Raja Bell,33,5,5,157,24,55,.436,9,24,.375,15,31,.484,.518,3,3,1.000,5,16,21,10,4,2,5,13,60
17,Vladimir Radmanovic,29,8,0,133,14,42,.333,7,22,.318,7,20,.350,.417,4,6,.667,8,21,29,7,3,1,5,18,39
18,Acie Law,25,9,0,33,5,16,.313,0,1,.000,5,15,.333,.313,6,7,.857,0,1,1,3,1,1,3,3,16
19,Alexis Ajinca,21,6,0,30,5,10,.500,0,0,,5,10,.500,.500,0,1,.000,1,3,4,0,1,1,2,5,10
,Team Totals,,82,,19880,2858,6306,.453,460,1331,.346,2398,4975,.482,.490,1637,2180,.751,858,2490,3348,1658,632,446,1290,1597,7813
