
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Luol Deng,27,75,75,2903,466,1093,.426,75,233,.322,391,860,.455,.461,230,282,.816,162,314,476,222,81,32,144,105,1237
2,Carlos Boozer,31,79,79,2546,544,1140,.477,0,2,.000,544,1138,.478,.477,193,264,.731,175,596,771,179,66,28,176,239,1281
3,Joakim Noah,27,66,64,2426,303,630,.481,0,5,.000,303,625,.485,.481,178,237,.751,260,473,733,262,78,141,176,185,784
4,Jimmy Butler,23,82,20,2134,239,512,.467,40,105,.381,199,407,.489,.506,187,233,.803,136,192,328,115,78,31,62,97,705
5,Nate Robinson,28,82,23,2086,399,921,.433,141,348,.405,258,573,.450,.510,135,169,.799,29,155,184,358,85,10,144,207,1074
6,Marco Belinelli,26,73,27,1882,241,610,.395,79,221,.357,162,389,.416,.460,141,168,.839,13,127,140,148,44,6,82,140,702
7,Kirk Hinrich,32,60,60,1764,159,422,.377,71,182,.390,88,240,.367,.461,70,98,.714,16,142,158,314,63,25,99,192,459
8,Taj Gibson,27,65,5,1459,214,441,.485,0,4,.000,214,437,.490,.485,89,131,.679,125,220,345,61,27,90,76,166,517
9,Richard Hamilton,34,50,45,1088,204,475,.429,16,52,.308,188,423,.444,.446,66,77,.857,16,67,83,119,24,5,84,93,490
10,Nazr Mohammed,35,63,12,693,66,180,.367,0,2,.000,66,178,.371,.367,34,47,.723,73,122,195,26,21,32,24,97,166
11,Marquis Teague,19,48,0,392,43,113,.381,4,23,.174,39,90,.433,.398,9,16,.563,3,41,44,63,9,7,35,47,99
12,Daequan Cook,25,33,0,276,30,108,.278,15,61,.246,15,47,.319,.347,7,9,.778,2,41,43,9,2,5,9,13,82
13,Vladimir Radmanovic,32,25,0,144,13,43,.302,5,27,.185,8,16,.500,.360,2,3,.667,10,18,28,8,8,4,7,29,33
14,Malcolm Thomas,24,7,0,36,5,9,.556,0,0,,5,9,.556,.556,2,4,.500,5,6,11,2,2,1,2,7,12
15,Lou Amundson,30,1,0,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,0,0,0,0,0,0
,Team Totals,,82,,19830,2926,6698,.437,446,1265,.353,2480,5433,.456,.470,1343,1738,.773,1026,2514,3540,1886,588,417,1171,1617,7641
