
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dirk Nowitzki,33,62,62,2079,473,1034,.457,78,212,.368,395,822,.481,.495,318,355,.896,46,372,418,136,42,30,117,129,1342
2,Jason Terry,34,63,1,2000,357,830,.430,138,365,.378,219,465,.471,.513,98,111,.883,16,133,149,226,73,11,127,69,950
3,Shawn Marion,33,63,63,1919,288,646,.446,20,68,.294,268,578,.464,.461,74,93,.796,145,320,465,132,67,36,98,87,670
4,Vince Carter,35,61,40,1542,223,542,.411,74,205,.361,149,337,.442,.480,95,115,.826,32,173,205,139,56,25,84,134,615
5,Jason Kidd,38,48,48,1379,99,273,.363,79,223,.354,20,50,.400,.507,22,28,.786,15,183,198,264,82,10,91,83,299
6,Rodrigue Beaubois,23,53,12,1151,188,445,.422,38,132,.288,150,313,.479,.465,58,69,.841,19,132,151,152,56,28,70,98,472
7,Brendan Haywood,32,54,54,1146,118,228,.518,0,0,,118,228,.518,.518,45,96,.469,139,185,324,19,24,54,46,121,281
8,Ian Mahinmi,25,61,12,1139,130,238,.546,0,1,.000,130,237,.549,.546,94,147,.639,108,181,289,12,38,31,50,176,354
9,Delonte West,28,44,33,1060,166,360,.461,27,76,.355,139,284,.489,.499,62,70,.886,13,88,101,139,58,11,76,67,421
10,Lamar Odom,32,50,4,1027,123,349,.352,28,111,.252,95,238,.399,.393,58,98,.592,36,172,208,83,20,18,52,97,332
11,Brandan Wright,24,49,0,791,144,233,.618,0,1,.000,144,232,.621,.618,52,82,.634,62,112,174,13,22,63,21,61,340
12,Brian Cardinal,34,44,0,277,14,55,.255,10,49,.204,4,6,.667,.345,5,6,.833,4,30,34,16,8,2,8,38,43
13,Dominique Jones,23,33,1,268,29,73,.397,1,8,.125,28,65,.431,.404,29,37,.784,9,35,44,42,10,5,28,28,88
14,Yi Jianlian,24,30,0,203,31,82,.378,3,10,.300,28,72,.389,.396,14,21,.667,12,37,49,5,7,8,14,23,79
15,Sean Williams,25,8,0,65,12,16,.750,0,0,,12,16,.750,.750,5,6,.833,9,4,13,2,1,5,7,14,29
16,Kelenna Azubuike,28,3,0,18,3,8,.375,1,3,.333,2,5,.400,.438,0,0,,0,0,0,0,1,0,4,1,7
,Team Totals,,66,,16065,2398,5412,.443,497,1464,.339,1901,3948,.482,.489,1029,1334,.771,665,2157,2822,1380,565,337,926,1226,6322
