
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tayshaun Prince,28,82,82,3057,459,1020,.450,56,141,.397,403,879,.458,.477,189,243,.778,128,348,476,253,44,51,101,104,1163
2,Rodney Stuckey,22,79,65,2517,401,913,.439,23,78,.295,378,835,.453,.452,233,290,.803,69,206,275,387,78,11,173,217,1058
3,Richard Hamilton,30,67,51,2279,466,1043,.447,70,190,.368,396,853,.464,.480,223,263,.848,44,163,207,297,40,4,133,176,1225
4,Rasheed Wallace,34,66,63,2123,302,720,.419,113,319,.354,189,401,.471,.498,78,101,.772,56,434,490,91,62,86,59,197,795
5,Allen Iverson,33,54,50,1970,330,794,.416,26,91,.286,304,703,.432,.432,253,322,.786,27,138,165,263,85,5,136,83,939
6,Antonio McDyess,34,62,30,1866,268,525,.510,0,0,,268,525,.510,.510,60,86,.698,185,422,607,83,41,50,51,191,596
7,Jason Maxiell,25,78,4,1408,184,320,.575,0,1,.000,184,319,.577,.575,84,158,.532,169,155,324,24,25,63,45,157,452
8,Arron Afflalo,23,74,8,1234,131,300,.437,43,107,.402,88,193,.456,.508,58,71,.817,30,104,134,44,28,13,43,144,363
9,Kwame Brown,26,58,30,999,90,169,.533,0,0,,90,169,.533,.533,63,122,.516,91,199,290,32,24,24,50,138,243
10,Amir Johnson,21,62,24,911,97,163,.595,0,0,,97,163,.595,.595,23,35,.657,102,130,232,20,20,60,33,171,217
11,Will Bynum,26,57,1,803,156,342,.456,3,19,.158,153,323,.474,.461,95,119,.798,19,56,75,157,34,2,76,85,410
12,Walter Herrmann,29,59,0,630,82,207,.396,41,120,.342,41,87,.471,.495,19,25,.760,28,79,107,22,7,4,17,43,224
13,Chauncey Billups,32,2,2,70,7,21,.333,2,7,.286,5,14,.357,.381,9,10,.900,1,9,10,15,3,1,4,3,25
14,Walter Sharpe,22,8,0,20,4,11,.364,0,2,.000,4,9,.444,.364,0,2,.000,0,3,3,0,0,2,0,3,8
15,Alex Acker,26,7,0,20,4,11,.364,0,4,.000,4,7,.571,.364,1,2,.500,0,2,2,1,2,1,0,0,9
,Team Totals,,82,,19905,2981,6559,.454,377,1079,.349,2604,5480,.475,.483,1388,1849,.751,949,2448,3397,1689,493,377,973,1712,7727
