
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Baron Davis,28,82,82,3196,650,1526,.426,173,525,.330,477,1001,.477,.483,318,424,.750,96,289,385,623,191,43,232,247,1791
2,Monta Ellis,22,81,72,3071,652,1227,.531,12,52,.231,640,1175,.545,.536,320,417,.767,133,271,404,315,124,27,173,195,1636
3,Stephen Jackson,29,73,73,2855,488,1204,.405,182,501,.363,306,703,.435,.481,308,370,.832,67,251,318,300,92,29,197,171,1466
4,Al Harrington,27,81,59,2190,401,923,.434,153,408,.375,248,515,.482,.517,147,190,.774,107,332,439,132,74,16,90,266,1102
5,Andris Biedrins,21,76,59,2078,340,543,.626,0,0,,340,543,.626,.626,116,187,.620,256,488,744,75,56,94,85,262,796
6,Kelenna Azubuike,24,81,17,1732,261,587,.445,71,195,.364,190,392,.485,.505,99,138,.717,107,217,324,75,45,34,58,159,692
7,Matt Barnes,27,73,18,1414,187,442,.423,53,181,.293,134,261,.513,.483,59,79,.747,94,230,324,139,48,36,85,159,486
8,Mickael Pietrus,25,66,16,1316,170,387,.439,66,183,.361,104,204,.510,.525,66,98,.673,67,175,242,49,66,43,48,200,472
9,Austin Croshere,32,44,0,457,61,137,.445,22,61,.361,39,76,.513,.526,29,32,.906,33,71,104,30,8,6,22,60,173
10,Brandan Wright,20,38,6,376,62,112,.554,0,0,,62,112,.554,.554,27,40,.675,38,61,99,9,6,22,13,36,151
11,C.J. Watson,23,32,0,368,43,101,.426,9,26,.346,34,75,.453,.470,23,29,.793,13,19,32,35,15,0,18,19,118
12,Marco Belinelli,21,33,0,241,36,93,.387,16,41,.390,20,52,.385,.473,7,9,.778,3,11,14,15,5,0,12,15,95
13,Didier Ilunga-Mbenga,27,16,0,130,9,23,.391,0,0,,9,23,.391,.391,1,2,.500,13,18,31,4,3,10,4,32,19
14,Chris Webber,34,9,8,126,15,31,.484,0,0,,15,31,.484,.484,5,12,.417,2,30,32,18,4,6,11,17,35
15,Patrick O'Bryant,21,24,0,99,16,29,.552,0,0,,16,29,.552,.552,3,5,.600,10,19,29,4,4,9,7,27,35
16,Troy Hudson,31,9,0,93,9,31,.290,4,12,.333,5,19,.263,.355,6,6,1.000,0,7,7,9,3,0,7,4,28
17,Kosta Perovic,22,7,0,38,3,10,.300,0,0,,3,10,.300,.300,4,6,.667,6,7,13,1,0,2,1,6,10
18,Stephane Lasme,25,1,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
,Team Totals,,82,,19780,3403,7406,.459,761,2185,.348,2642,5221,.506,.511,1538,2044,.752,1045,2496,3541,1833,744,377,1082,1875,9105
