
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Rafer Alston,30,82,82,3040,383,1020,.375,192,529,.363,191,491,.389,.470,130,177,.734,29,253,282,444,129,10,170,195,1088
2,Shane Battier,28,82,82,2988,292,654,.446,157,373,.421,135,281,.480,.567,88,113,.779,67,271,338,175,79,60,72,190,829
3,Tracy McGrady,27,71,71,2539,638,1480,.431,126,381,.331,512,1099,.466,.474,345,488,.707,56,322,378,458,92,36,213,136,1747
4,Luther Head,24,80,10,2211,306,700,.437,177,401,.441,129,299,.431,.564,83,105,.790,31,221,252,194,76,5,137,133,872
5,Juwan Howard,33,80,38,2123,309,665,.465,0,0,,309,665,.465,.465,155,188,.824,138,332,470,131,29,8,112,205,773
6,Chuck Hayes,23,78,43,1714,192,335,.573,0,0,,192,335,.573,.573,55,89,.618,204,317,521,47,70,18,64,281,439
7,Yao Ming,26,48,48,1624,423,819,.516,0,2,.000,423,817,.518,.516,356,413,.862,101,351,452,94,17,94,167,159,1202
8,Dikembe Mutombo,40,75,33,1289,85,153,.556,0,0,,85,153,.556,.556,60,87,.690,164,324,488,13,22,76,38,156,230
9,Bonzi Wells,30,28,1,590,85,207,.411,1,7,.143,84,200,.420,.413,46,82,.561,26,94,120,31,24,13,57,62,217
10,Kirk Snyder,23,39,1,563,66,146,.452,11,44,.250,55,102,.539,.490,49,75,.653,17,66,83,39,11,12,26,51,192
11,John Lucas III,24,47,0,383,62,156,.397,15,59,.254,47,97,.485,.446,15,19,.789,9,27,36,33,17,0,15,38,154
12,Vassilis Spanoulis,24,31,0,272,23,72,.319,5,29,.172,18,43,.419,.354,34,42,.810,5,17,22,28,7,1,29,33,85
13,Scott Padgett,30,24,0,198,15,49,.306,8,29,.276,7,20,.350,.388,6,11,.545,11,34,45,8,4,3,8,33,44
14,Steve Novak,23,35,1,191,18,50,.360,13,39,.333,5,11,.455,.490,2,2,1.000,4,22,26,6,5,0,4,21,51
15,Jake Tsakalidis,27,13,0,132,9,22,.409,0,0,,9,22,.409,.409,12,15,.800,18,22,40,3,1,1,3,17,30
,Team Totals,,82,,19855,2906,6528,.445,705,1893,.372,2201,4635,.475,.499,1436,1906,.753,880,2673,3553,1704,583,337,1162,1710,7953
