
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Solomon Hill,23,82,78,2381,251,634,.396,68,208,.327,183,426,.430,.450,159,193,.824,70,244,314,184,66,18,115,177,729
2,Roy Hibbert,28,76,76,1926,317,710,.446,0,2,.000,317,708,.448,.446,168,204,.824,156,384,540,84,18,125,107,216,802
3,David West,34,66,66,1895,323,686,.471,4,20,.200,319,666,.479,.474,119,161,.739,108,341,449,223,48,48,120,160,769
4,Rodney Stuckey,28,71,36,1874,332,754,.440,55,141,.390,277,613,.452,.477,177,216,.819,36,212,248,219,56,10,118,131,896
5,C.J. Miles,27,70,40,1841,329,827,.398,154,446,.345,175,381,.459,.491,130,161,.807,18,196,214,75,60,26,73,132,942
6,Luis Scola,34,81,16,1659,300,642,.467,5,20,.250,295,622,.474,.471,158,226,.699,138,388,526,105,47,18,94,192,763
7,C.J. Watson,30,57,21,1422,181,417,.434,70,175,.400,111,242,.459,.518,138,167,.826,18,145,163,208,57,9,100,107,570
8,George Hill,28,43,36,1267,255,535,.477,69,193,.358,186,342,.544,.541,113,143,.790,25,154,179,220,44,14,69,111,692
9,Ian Mahinmi,28,61,6,1146,117,212,.552,0,0,,117,212,.552,.552,31,102,.304,105,251,356,33,30,46,59,172,265
10,Donald Sloan,27,53,21,1107,145,355,.408,41,131,.313,104,224,.464,.466,60,77,.779,12,131,143,190,23,0,65,47,391
11,Lavoy Allen,25,63,0,1070,141,299,.472,0,0,,141,299,.472,.472,33,47,.702,123,200,323,73,15,42,40,102,315
12,Damjan Rudez,28,68,2,1047,119,263,.452,69,170,.406,50,93,.538,.584,16,23,.696,8,39,47,53,16,5,47,79,323
13,Chris Copeland,30,50,12,828,112,310,.361,52,167,.311,60,143,.420,.445,33,45,.733,23,88,111,51,11,11,59,78,309
14,A.J. Price,28,10,0,193,39,89,.438,15,39,.385,24,50,.480,.522,12,18,.667,2,12,14,27,4,0,10,9,105
15,Shayne Whittington,23,20,0,108,19,42,.452,1,6,.167,18,36,.500,.464,18,23,.783,10,19,29,6,5,2,5,18,57
16,Paul George,24,6,0,91,18,49,.367,9,22,.409,9,27,.333,.459,8,11,.727,4,18,22,6,5,1,12,11,53
,Team Totals,,82,,19855,2998,6824,.439,612,1740,.352,2386,5084,.469,.484,1373,1817,.756,856,2822,3678,1757,505,375,1147,1742,7981
