
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Blake Griffin,21,82,82,3112,696,1376,.506,7,24,.292,689,1352,.510,.508,446,695,.642,270,719,989,312,63,45,223,252,1845
2,Eric Gordon,22,56,56,2112,427,949,.450,106,291,.364,321,658,.488,.506,287,348,.825,45,119,164,244,71,18,151,115,1247
3,Ryan Gomes,28,76,62,2095,207,505,.410,72,211,.341,135,294,.459,.481,61,85,.718,61,193,254,118,62,12,55,159,547
4,DeAndre Jordan,22,80,66,2047,234,341,.686,0,1,.000,234,340,.688,.686,98,217,.452,207,368,575,42,41,142,101,255,566
5,Eric Bledsoe,21,81,25,1841,206,486,.424,32,116,.276,174,370,.470,.457,99,133,.744,68,155,223,289,92,26,194,130,543
6,Randy Foye,27,63,24,1551,206,531,.388,71,217,.327,135,314,.430,.455,133,149,.893,13,90,103,170,47,21,95,122,616
7,Al-Farouq Aminu,20,81,14,1452,160,406,.394,45,143,.315,115,263,.437,.450,92,119,.773,75,192,267,60,59,25,103,121,457
8,Baron Davis,31,43,35,1269,214,515,.416,45,152,.296,169,363,.466,.459,79,104,.760,29,91,120,299,62,22,107,114,552
9,Chris Kaman,28,32,15,838,177,376,.471,0,0,,177,376,.471,.471,43,57,.754,51,174,225,46,16,48,58,75,397
10,Rasual Butler,31,41,2,744,73,226,.323,42,129,.326,31,97,.320,.416,18,27,.667,10,66,76,27,8,15,22,34,206
11,Mo Williams,28,22,22,723,113,268,.422,43,108,.398,70,160,.438,.502,66,75,.880,6,50,56,123,20,0,66,59,335
12,Craig Smith,27,48,0,586,104,188,.553,0,5,.000,104,183,.568,.553,50,68,.735,43,74,117,31,16,7,33,84,258
13,Ike Diogu,27,36,0,470,83,148,.561,0,0,,83,148,.561,.561,41,62,.661,41,74,115,2,3,3,22,72,207
14,Brian Cook,30,40,0,447,72,170,.424,34,79,.430,38,91,.418,.524,15,24,.625,19,77,96,15,12,11,25,75,193
15,Jamario Moon,30,19,7,278,25,59,.424,11,28,.393,14,31,.452,.517,5,6,.833,9,38,47,7,3,6,5,26,66
16,Jarron Collins,32,23,0,157,5,15,.333,0,0,,5,15,.333,.333,7,10,.700,7,10,17,1,4,1,5,24,17
17,Willie Warren,21,19,0,134,13,35,.371,5,15,.333,8,20,.400,.443,6,8,.750,1,11,12,27,6,0,8,16,37
,Team Totals,,82,,19855,3015,6594,.457,513,1519,.338,2502,5075,.493,.496,1546,2187,.707,955,2501,3456,1813,585,402,1343,1733,8089
