
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kobe Bryant,27,80,80,3277,978,2173,.450,180,518,.347,798,1655,.482,.491,696,819,.850,71,354,425,360,147,30,250,233,2832
2,Lamar Odom,26,80,80,3221,445,925,.481,80,215,.372,365,710,.514,.524,216,313,.690,181,557,738,443,75,64,213,256,1186
3,Smush Parker,24,82,82,2773,348,779,.447,120,328,.366,228,451,.506,.524,125,180,.694,37,234,271,302,140,16,147,213,941
4,Kwame Brown,23,72,49,1978,204,388,.526,0,1,.000,204,387,.527,.526,128,235,.545,182,291,473,72,27,46,100,196,536
5,Devean George,28,71,5,1542,170,425,.400,50,160,.313,120,265,.453,.459,58,86,.674,82,192,274,68,66,34,54,159,448
6,Chris Mihm,26,59,56,1541,230,459,.501,0,0,,230,459,.501,.501,144,201,.716,137,236,373,61,16,73,83,214,604
7,Brian Cook,25,81,46,1535,261,511,.511,36,84,.429,225,427,.527,.546,84,101,.832,88,186,274,74,37,32,61,205,642
8,Sasha Vujacic,21,82,4,1449,108,312,.346,59,172,.343,49,140,.350,.441,46,52,.885,33,126,159,139,48,3,50,150,321
9,Luke Walton,25,69,6,1333,135,328,.412,18,55,.327,117,273,.429,.439,57,76,.750,88,159,247,156,41,15,78,119,345
10,Andrew Bynum,18,46,0,338,33,82,.402,0,0,,33,82,.402,.402,8,27,.296,34,46,80,9,4,22,17,56,74
11,Laron Profit,28,25,1,279,40,84,.476,3,18,.167,37,66,.561,.494,21,24,.875,8,35,43,15,11,5,24,25,104
12,Ronny Turiaf,23,23,1,161,15,30,.500,0,0,,15,30,.500,.500,15,27,.556,11,26,37,8,3,10,7,30,45
13,Devin Green,23,27,0,135,6,28,.214,0,2,.000,6,26,.231,.214,13,21,.619,10,14,24,7,3,0,5,13,25
14,Aaron McKie,33,14,0,121,3,12,.250,0,2,.000,3,10,.300,.250,1,2,.500,3,17,20,11,5,0,2,7,7
15,Jim Jackson,35,13,0,92,9,31,.290,4,11,.364,5,20,.250,.355,0,0,,0,12,12,4,2,0,5,5,22
16,Von Wafer,20,16,0,73,6,38,.158,2,17,.118,4,21,.190,.184,6,8,.750,5,3,8,4,3,0,1,12,20
17,Stanislav Medvedenko,26,2,0,6,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,0,0,1,0,0,0,1,2
,Team Totals,,82,,19855,2992,6607,.453,552,1583,.349,2440,5024,.486,.495,1618,2172,.745,970,2488,3458,1734,628,350,1143,1894,8154
