
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shane Battier,26,80,72,2516,271,613,.442,70,177,.395,201,436,.461,.499,180,228,.789,158,255,413,126,91,77,75,201,792
2,Lorenzen Wright,29,80,77,2287,320,683,.469,0,3,.000,320,680,.471,.469,131,198,.662,177,436,613,87,58,69,100,251,771
3,Mike Miller,24,76,51,2278,387,766,.505,140,323,.433,247,443,.558,.597,108,150,.720,36,264,300,220,54,23,127,197,1022
4,Jason Williams,29,71,68,1952,266,644,.413,107,330,.324,159,314,.506,.496,80,101,.792,19,103,122,399,75,5,130,91,719
5,Earl Watson,25,80,14,1808,236,554,.426,52,163,.319,184,391,.471,.473,91,138,.659,35,129,164,359,83,19,167,184,615
6,Pau Gasol,24,56,53,1790,357,695,.514,1,6,.167,356,689,.517,.514,282,367,.768,130,280,410,135,37,93,137,146,997
7,Bonzi Wells,28,69,19,1489,272,617,.441,36,104,.346,236,513,.460,.470,141,188,.750,49,180,229,80,85,27,90,165,721
8,Brian Cardinal,27,58,16,1433,160,432,.370,44,125,.352,116,307,.378,.421,158,181,.873,63,162,225,114,88,19,83,172,522
9,James Posey,28,50,18,1382,127,356,.357,55,178,.309,72,178,.404,.434,96,111,.865,45,174,219,88,48,23,69,134,405
10,Stromile Swift,25,60,14,1279,219,488,.449,0,4,.000,219,484,.452,.449,166,219,.758,92,181,273,43,41,92,90,182,604
11,Dahntay Jones,24,52,7,649,83,190,.437,23,60,.383,60,130,.462,.497,44,64,.688,11,58,69,21,13,11,29,81,233
12,Ryan Humphrey,25,35,0,317,42,103,.408,0,2,.000,42,101,.416,.408,18,37,.486,50,37,87,6,10,1,23,35,102
13,Jake Tsakalidis,25,31,1,278,32,64,.500,0,0,,32,64,.500,.500,14,18,.778,21,35,56,10,3,16,12,42,78
14,Antonio Burks,24,24,0,219,28,60,.467,3,11,.273,25,49,.510,.492,14,19,.737,1,11,12,28,13,1,12,25,73
15,Andre Emmett,22,8,0,28,2,6,.333,0,0,,2,6,.333,.333,3,5,.600,0,2,2,0,0,0,1,4,7
,Team Totals,,82,,19705,2802,6271,.447,531,1486,.357,2271,4785,.475,.489,1526,2024,.754,887,2307,3194,1716,699,476,1197,1910,7661
