
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ricky Davis,28,82,47,2963,420,971,.433,135,333,.405,285,638,.447,.502,155,197,.787,55,298,353,276,87,14,191,187,1130
2,Dwyane Wade,26,51,49,1954,439,937,.469,22,77,.286,417,860,.485,.480,354,467,.758,45,169,214,354,87,37,224,137,1254
3,Jason Williams,32,67,53,1886,211,550,.384,97,275,.353,114,275,.415,.472,69,80,.863,12,118,130,307,83,5,91,93,588
4,Udonis Haslem,27,49,48,1805,237,507,.467,0,0,,237,507,.467,.467,115,142,.810,107,336,443,68,39,18,67,145,589
5,Mark Blount,32,69,46,1542,238,515,.462,17,44,.386,221,471,.469,.479,88,138,.638,69,194,263,41,33,34,70,133,581
6,Daequan Cook,20,59,19,1441,196,514,.381,79,238,.332,117,276,.424,.458,47,57,.825,20,157,177,75,23,9,63,157,518
7,Chris Quinn,24,60,25,1340,158,373,.424,64,159,.403,94,214,.439,.509,85,98,.867,11,107,118,178,46,4,55,90,465
8,Dorell Wright,22,44,34,1104,143,293,.488,4,11,.364,139,282,.493,.495,57,69,.826,48,172,220,60,29,41,29,79,347
9,Shaquille O'Neal,35,33,33,945,191,329,.581,0,0,,191,329,.581,.581,88,178,.494,99,159,258,45,19,54,98,134,470
10,Earl Barron,26,46,15,889,132,327,.404,1,13,.077,131,314,.417,.405,61,87,.701,67,131,198,29,19,8,48,114,326
11,Shawn Marion,29,16,15,602,96,209,.459,8,31,.258,88,178,.494,.478,29,42,.690,50,129,179,40,30,15,37,33,229
12,Alexander Johnson,24,43,6,549,61,125,.488,0,0,,61,125,.488,.488,57,83,.687,32,62,94,13,13,10,42,80,179
13,Joel Anthony,25,24,1,498,28,60,.467,0,0,,28,60,.467,.467,29,49,.592,38,55,93,3,9,31,17,55,85
14,Alonzo Mourning,37,25,0,389,52,95,.547,0,0,,52,95,.547,.547,45,76,.592,34,59,93,7,4,42,25,56,149
15,Anfernee Hardaway,36,16,8,325,22,60,.367,8,19,.421,14,41,.341,.433,8,9,.889,3,32,35,35,19,1,13,24,60
16,Kasib Powell,26,11,4,304,35,95,.368,8,33,.242,27,62,.435,.411,6,9,.667,8,36,44,18,9,2,5,18,84
17,Stephane Lasme,25,15,4,303,32,71,.451,0,0,,32,71,.451,.451,19,32,.594,26,27,53,3,13,22,15,35,83
18,Marcus Banks,26,12,2,259,42,82,.512,15,37,.405,27,45,.600,.604,15,19,.789,1,24,25,36,6,5,21,27,114
19,Luke Jackson,26,14,1,228,26,80,.325,11,30,.367,15,50,.300,.394,16,23,.696,7,26,33,17,8,0,9,22,79
20,Smush Parker,26,9,0,183,17,54,.315,6,24,.250,11,30,.367,.370,3,4,.750,2,17,19,15,5,3,8,13,43
21,Blake Ahearn,23,12,0,177,15,57,.263,10,34,.294,5,23,.217,.351,30,31,.968,1,18,19,19,6,0,16,20,70
22,Bobby Jones,24,6,0,143,17,32,.531,6,15,.400,11,17,.647,.625,8,13,.615,8,16,24,5,2,0,7,18,48
,Team Totals,,82,,19830,2808,6336,.443,491,1373,.358,2317,4963,.467,.482,1384,1903,.727,743,2342,3085,1644,589,355,1202,1670,7491
