
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Charlie Bell,27,82,64,2848,426,974,.437,127,361,.352,299,613,.488,.503,131,168,.780,57,181,238,247,97,4,104,213,1110
2,Ruben Patterson,31,81,53,2508,475,867,.548,3,19,.158,472,848,.557,.550,241,376,.641,190,250,440,232,110,25,199,232,1194
3,Mo Williams,24,68,68,2472,468,1049,.446,79,228,.346,389,821,.474,.484,159,186,.855,54,275,329,416,85,6,203,201,1174
4,Andrew Bogut,22,66,66,2258,348,629,.553,1,5,.200,347,624,.556,.554,112,194,.577,168,416,584,198,49,35,150,216,809
5,Michael Redd,27,53,53,2036,477,1025,.465,117,306,.382,360,719,.501,.522,345,416,.829,42,154,196,124,63,9,122,78,1416
6,Brian Skinner,30,67,44,1523,124,253,.490,0,0,,124,253,.490,.490,46,79,.582,106,279,385,58,18,64,75,195,294
7,Earl Boykins,30,35,19,1154,167,391,.427,54,129,.419,113,262,.431,.496,101,114,.886,26,50,76,159,31,0,68,61,489
8,Charlie Villanueva,22,39,17,984,180,383,.470,29,86,.337,151,297,.508,.508,73,89,.820,62,166,228,36,24,12,54,108,462
9,Ersan Ilyasova,19,66,14,973,139,363,.383,54,148,.365,85,215,.395,.457,70,89,.787,58,131,189,49,27,17,51,147,402
10,Dan Gadzuric,28,54,8,840,108,228,.474,0,1,.000,108,227,.476,.474,42,90,.467,94,152,246,29,22,32,49,141,258
11,David Noel,22,68,0,792,65,177,.367,17,53,.321,48,124,.387,.415,37,43,.860,42,81,123,65,25,9,40,77,184
12,Steve Blake,26,33,2,583,45,129,.349,19,68,.279,26,61,.426,.422,11,20,.550,7,38,45,84,10,3,28,49,120
13,Lynn Greer,27,41,0,432,61,141,.433,18,52,.346,43,89,.483,.496,27,32,.844,2,25,27,53,17,1,18,32,167
14,Jared Reiner,24,27,2,244,15,43,.349,0,0,,15,43,.349,.349,3,10,.300,21,50,71,13,5,6,14,45,33
15,Damir Markota,21,30,0,170,19,52,.365,6,16,.375,13,36,.361,.423,7,11,.636,11,20,31,6,3,1,15,22,51
16,Julius Hodge,23,5,0,28,4,7,.571,0,0,,4,7,.571,.571,1,2,.500,1,4,5,2,1,0,2,3,9
17,Chris McCray,22,5,0,12,0,3,.000,0,0,,0,3,.000,.000,0,0,,0,0,0,0,0,0,2,1,0
,Team Totals,,82,,19855,3121,6714,.465,524,1472,.356,2597,5242,.495,.504,1406,1919,.733,941,2272,3213,1771,587,224,1240,1821,8172
