
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Kevin Love,23,55,55,2145,474,1059,.448,105,282,.372,369,777,.475,.497,379,460,.824,226,508,734,111,47,28,128,152,1432
2,Luke Ridnour,30,53,53,1750,242,550,.440,49,152,.322,193,398,.485,.485,106,119,.891,19,122,141,252,56,16,96,136,639
3,Wesley Johnson,24,65,64,1469,158,397,.398,53,169,.314,105,228,.461,.465,24,34,.706,24,153,177,59,35,48,60,115,393
4,Derrick Williams,20,66,15,1418,205,498,.412,37,138,.268,168,360,.467,.449,136,195,.697,77,234,311,38,30,31,77,95,583
5,Ricky Rubio,21,41,31,1404,139,389,.357,32,94,.340,107,295,.363,.398,126,157,.803,21,150,171,336,91,8,131,97,436
6,Nikola Pekovic,26,47,35,1264,256,454,.564,0,0,,256,454,.564,.564,139,187,.743,181,165,346,31,29,31,87,98,651
7,Martell Webster,25,47,26,1140,115,272,.423,37,109,.339,78,163,.479,.491,57,72,.792,42,126,168,40,31,17,46,86,324
8,Michael Beasley,23,47,7,1087,221,497,.445,38,101,.376,183,396,.462,.483,61,95,.642,39,168,207,45,18,19,80,83,541
9,J.J. Barea,27,41,11,1032,167,418,.400,53,143,.371,114,275,.415,.463,76,98,.776,14,100,114,232,21,0,103,61,463
10,Wayne Ellington,24,51,4,973,122,302,.404,35,108,.324,87,194,.448,.462,32,40,.800,14,85,99,33,26,10,26,56,311
11,Anthony Tolliver,26,51,0,882,71,182,.390,25,101,.248,46,81,.568,.459,41,55,.745,50,103,153,22,18,19,35,86,208
12,Anthony Randolph,22,34,5,517,94,200,.470,0,1,.000,94,199,.472,.470,64,84,.762,42,81,123,19,13,35,40,56,252
13,Darko Milicic,26,29,23,472,59,130,.454,0,0,,59,130,.454,.454,16,37,.432,35,62,97,17,9,25,32,59,134
14,Malcolm Lee,21,19,0,243,23,59,.390,2,10,.200,21,49,.429,.407,14,17,.824,9,17,26,31,8,4,17,22,62
15,Brad Miller,35,15,1,146,9,27,.333,7,15,.467,2,12,.167,.463,10,12,.833,4,15,19,24,4,2,12,10,35
,Team Totals,,66,,15940,2355,5434,.433,473,1423,.332,1882,4011,.469,.477,1281,1662,.771,797,2089,2886,1290,436,293,1001,1212,6464
