
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Richard Jefferson,25,78,78,3059,495,1005,.493,60,188,.319,435,817,.532,.522,471,580,.812,95,439,534,297,59,17,174,193,1521
2,Jason Kidd,32,80,80,2975,366,905,.404,139,395,.352,227,510,.445,.481,194,244,.795,86,494,580,672,150,29,192,157,1065
3,Vince Carter,29,79,79,2906,653,1518,.430,125,367,.341,528,1151,.459,.471,480,601,.799,135,327,462,338,94,53,213,235,1911
4,Nenad Krstic,22,80,80,2469,447,881,.507,1,4,.250,446,877,.509,.508,185,265,.698,182,331,513,88,32,63,133,297,1080
5,Jason Collins,27,71,70,1895,104,262,.397,3,12,.250,101,250,.404,.403,44,86,.512,93,249,342,70,46,40,61,251,255
6,Clifford Robinson,39,80,13,1863,219,513,.427,60,175,.343,159,338,.470,.485,52,79,.658,55,212,267,89,44,40,62,206,550
7,Jacque Vaughn,30,80,6,1234,107,245,.437,1,6,.167,106,239,.444,.439,59,81,.728,16,75,91,123,42,1,52,140,274
8,Scott Padgett,29,62,1,718,71,201,.353,42,121,.347,29,80,.363,.458,27,34,.794,56,109,165,41,28,12,21,90,211
9,Zoran Planinic,23,56,1,596,66,183,.361,13,56,.232,53,127,.417,.396,46,66,.697,14,60,74,53,20,4,43,91,191
10,Lamond Murray,32,57,1,576,72,181,.398,27,78,.346,45,103,.437,.472,25,40,.625,29,103,132,13,17,7,22,66,196
11,Jeff McInnis,31,28,1,486,63,143,.441,3,16,.188,60,127,.472,.451,20,29,.690,11,39,50,52,11,2,29,37,149
12,Marc Jackson,31,37,0,433,66,148,.446,0,0,,66,148,.446,.446,38,48,.792,30,59,89,22,5,6,28,70,170
13,Antoine Wright,21,39,0,370,29,81,.358,1,15,.067,28,66,.424,.364,11,22,.500,8,22,30,12,4,3,21,42,70
14,Bostjan Nachbar,25,11,0,97,12,32,.375,2,14,.143,10,18,.556,.406,5,8,.625,4,7,11,5,3,0,4,13,31
15,John Thomas,30,2,0,36,1,6,.167,0,0,,1,6,.167,.167,0,0,,7,3,10,0,1,1,2,4,2
16,Linton Johnson,25,9,0,35,5,10,.500,0,0,,5,10,.500,.500,1,4,.250,0,7,7,2,2,0,4,7,11
17,Derrick Zimmerman,24,2,0,32,2,3,.667,0,0,,2,3,.667,.667,0,0,,1,3,4,7,0,0,4,4,4
,Team Totals,,82,,19780,2778,6317,.440,477,1447,.330,2301,4870,.472,.478,1658,2187,.758,822,2539,3361,1884,558,278,1119,1903,7691
