
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,P.J. Brown,35,82,78,2817,338,758,.446,0,0,,338,758,.446,.446,210,243,.864,266,471,737,178,74,50,101,233,886
2,Dan Dickau,26,67,46,2074,305,748,.408,84,242,.347,221,506,.437,.464,188,225,.836,34,145,179,346,76,4,144,200,882
3,Lee Nailon,29,68,51,2017,415,869,.478,0,2,.000,415,867,.479,.478,133,165,.806,128,170,298,109,36,16,110,190,963
4,J.R. Smith,19,76,56,1859,295,748,.394,81,281,.288,214,467,.458,.449,111,161,.689,39,113,152,142,55,11,109,135,782
5,Chris Andersen,26,67,2,1430,191,358,.534,0,3,.000,191,355,.538,.534,131,190,.689,137,273,410,71,14,100,64,144,513
6,Bostjan Nachbar,24,55,4,1137,146,368,.397,65,175,.371,81,193,.420,.485,88,105,.838,20,132,152,65,28,16,68,153,445
7,Casey Jacobsen,23,44,1,1030,100,251,.398,32,88,.364,68,163,.417,.462,103,130,.792,18,82,100,76,22,7,44,48,335
8,David Wesley,34,26,26,934,133,342,.389,28,80,.350,105,262,.401,.430,67,76,.882,12,73,85,109,35,1,54,65,361
9,George Lynch,34,44,27,933,68,189,.360,11,37,.297,57,152,.375,.389,17,23,.739,55,119,174,88,32,12,57,83,164
10,Rodney Rogers,33,30,26,882,109,289,.377,25,92,.272,84,197,.426,.420,32,42,.762,28,114,142,60,19,12,66,103,275
11,Jamaal Magloire,26,23,22,703,98,227,.432,0,0,,98,227,.432,.432,74,123,.602,79,126,205,29,8,23,59,74,270
12,Jackson Vroman,23,36,17,648,76,183,.415,0,3,.000,76,180,.422,.415,44,68,.647,59,103,162,33,22,17,57,94,196
13,Baron Davis,25,18,13,593,111,303,.366,44,137,.321,67,166,.404,.439,74,96,.771,16,51,67,129,31,4,38,52,340
14,David West,24,30,8,552,75,172,.436,2,5,.400,73,167,.437,.442,34,50,.680,40,89,129,23,12,16,37,62,186
15,Junior Harrington,24,29,7,550,64,178,.360,6,19,.316,58,159,.365,.376,29,35,.829,13,50,63,62,25,5,41,72,163
16,Matt Freije,23,23,11,441,37,127,.291,14,54,.259,23,73,.315,.346,5,8,.625,16,45,61,20,13,2,17,40,93
17,Darrell Armstrong,36,14,9,412,53,159,.333,17,70,.243,36,89,.404,.387,19,21,.905,16,32,48,65,15,2,28,30,142
18,Speedy Claxton,26,16,3,365,41,110,.373,1,9,.111,40,101,.396,.377,25,41,.610,5,26,31,88,22,2,27,30,108
19,Maciej Lampe,19,21,0,261,32,83,.386,0,1,.000,32,82,.390,.386,7,10,.700,15,42,57,10,4,5,7,31,71
20,Alex Garcia,24,8,3,146,18,52,.346,5,18,.278,13,34,.382,.394,3,4,.750,7,8,15,18,4,1,8,15,44
21,Corsley Edwards,25,10,0,110,10,31,.323,0,0,,10,31,.323,.323,7,12,.583,12,13,25,3,3,4,2,19,27
22,Lonny Baxter,26,4,0,36,3,11,.273,0,0,,3,11,.273,.273,0,2,.000,4,4,8,0,0,0,4,10,6
,Team Totals,,82,,19930,2718,6556,.415,415,1316,.315,2303,5240,.440,.446,1401,1830,.766,1019,2281,3300,1724,550,310,1217,1883,7252
