
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Desmond Mason,29,75,75,2575,407,900,.452,0,0,,407,900,.452,.452,214,323,.663,124,221,345,115,52,22,192,174,1028
2,Tyson Chandler,24,73,73,2525,292,468,.624,0,1,.000,292,467,.625,.624,106,201,.527,320,584,904,66,37,129,126,244,690
3,Chris Paul,21,64,64,2353,381,871,.437,50,143,.350,331,728,.455,.466,292,357,.818,54,226,280,569,118,3,161,154,1104
4,Rasual Butler,27,81,38,2223,314,788,.398,134,363,.369,180,425,.424,.484,56,87,.644,42,214,256,63,40,54,67,148,818
5,David West,26,52,52,1900,377,792,.476,8,25,.320,369,767,.481,.481,187,227,.824,126,298,424,114,42,38,98,143,949
6,Jannero Pargo,27,82,7,1710,283,692,.409,81,209,.388,202,483,.418,.467,104,122,.852,20,160,180,203,53,4,122,121,751
7,Devin Brown,28,58,49,1662,233,555,.420,81,227,.357,152,328,.463,.493,123,155,.794,55,196,251,149,44,9,91,139,670
8,Bobby Jackson,33,56,2,1330,204,518,.394,54,165,.327,150,353,.425,.446,130,168,.774,42,136,178,141,50,6,78,98,592
9,Marc Jackson,32,56,25,1025,159,388,.410,0,1,.000,159,387,.411,.410,90,103,.874,62,130,192,58,21,7,65,89,408
10,Linton Johnson,26,54,0,720,93,190,.489,10,30,.333,83,160,.519,.516,30,37,.811,52,111,163,18,33,18,27,101,226
11,Hilton Armstrong,22,56,5,634,68,125,.544,0,0,,68,125,.544,.544,40,67,.597,58,91,149,10,12,26,35,79,176
12,Cedric Simmons,21,43,4,534,55,132,.417,0,0,,55,132,.417,.417,16,33,.485,44,63,107,12,8,23,22,75,126
13,Peja Stojakovic,29,13,13,425,83,196,.423,34,84,.405,49,112,.438,.510,31,38,.816,11,43,54,11,8,4,19,29,231
14,Brandon Bass,21,21,3,162,15,44,.341,0,1,.000,15,43,.349,.341,12,16,.750,13,30,43,3,2,3,10,16,42
15,Marcus Vinicius,22,13,0,103,7,15,.467,3,7,.429,4,8,.500,.567,5,7,.714,2,9,11,5,2,1,6,10,22
,Team Totals,,82,,19880,2971,6674,.445,455,1256,.362,2516,5418,.464,.479,1436,1941,.740,1025,2512,3537,1537,522,347,1187,1620,7833
