
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Carmelo Anthony,29,77,77,2982,743,1643,.452,167,415,.402,576,1228,.469,.503,459,541,.848,145,477,622,242,95,51,198,224,2112
2,J.R. Smith,28,74,37,2421,396,955,.415,189,480,.394,207,475,.436,.514,90,138,.652,35,261,296,219,65,20,108,196,1071
3,Raymond Felton,29,65,65,2017,240,608,.395,62,195,.318,178,413,.431,.446,88,122,.721,54,143,197,365,78,27,129,157,630
4,Iman Shumpert,23,74,58,1962,183,484,.378,76,228,.333,107,256,.418,.457,53,71,.746,81,227,308,129,92,13,79,209,495
5,Tim Hardaway,21,81,1,1875,294,687,.428,130,358,.363,164,329,.498,.523,106,128,.828,19,102,121,66,44,7,47,144,824
6,Tyson Chandler,31,55,55,1662,191,322,.593,0,1,.000,191,321,.595,.593,98,155,.632,159,370,529,59,36,63,71,145,480
7,Amar'e Stoudemire,31,65,21,1466,311,558,.557,0,0,,311,558,.557,.557,150,203,.739,112,208,320,34,23,37,91,159,772
8,Pablo Prigioni,36,66,27,1283,88,191,.461,65,140,.464,23,51,.451,.631,11,12,.917,36,93,129,228,67,2,60,132,252
9,Andrea Bargnani,28,42,39,1257,222,502,.442,30,108,.278,192,394,.487,.472,84,102,.824,69,153,222,45,14,52,58,100,558
10,Kenyon Martin,36,32,15,633,63,123,.512,0,1,.000,63,122,.516,.512,11,19,.579,36,98,134,50,25,27,26,85,137
11,Beno Udrih,31,31,12,588,68,160,.425,17,40,.425,51,120,.425,.478,20,24,.833,10,47,57,110,22,3,42,46,173
12,Jeremy Tyler,22,41,0,398,60,116,.517,0,0,,60,116,.517,.517,26,48,.542,38,71,109,8,6,20,26,70,146
13,Metta World Peace,34,29,1,388,56,141,.397,17,54,.315,39,87,.448,.457,10,16,.625,18,41,59,17,24,8,19,44,139
14,Toure' Murry,24,51,0,373,56,129,.434,5,12,.417,51,117,.436,.453,23,39,.590,13,31,44,49,19,1,34,46,140
15,Cole Aldrich,25,46,2,330,33,61,.541,0,0,,33,61,.541,.541,26,30,.867,37,92,129,14,8,30,18,40,92
16,Shannon Brown,28,19,0,148,16,38,.421,0,0,,16,38,.421,.421,8,12,.667,6,9,15,4,12,0,10,12,40
17,Earl Clark,26,9,0,70,7,21,.333,1,6,.167,6,15,.400,.357,8,10,.800,2,14,16,2,1,6,1,6,23
18,Chris Smith,26,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
,Team Totals,,82,,19855,3027,6739,.449,759,2038,.372,2268,4701,.482,.505,1271,1670,.761,870,2437,3307,1641,631,367,1063,1815,8084
