
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Russell Westbrook,26,67,67,2302,627,1471,.426,86,288,.299,541,1183,.457,.455,546,654,.835,124,364,488,574,140,14,293,184,1886
2,Serge Ibaka,25,64,64,2116,374,786,.476,77,205,.376,297,581,.511,.525,92,110,.836,135,364,499,55,30,155,97,194,917
3,Anthony Morrow,29,74,0,1806,285,615,.463,141,325,.434,144,290,.497,.578,79,89,.888,40,155,195,60,54,11,38,135,790
4,Steven Adams,21,70,67,1771,217,399,.544,0,2,.000,217,397,.547,.544,103,205,.502,199,324,523,66,38,86,99,222,537
5,Dion Waiters,23,47,20,1422,237,604,.392,51,160,.319,186,444,.419,.435,70,112,.625,29,106,135,89,46,11,63,96,595
6,Reggie Jackson,24,50,13,1398,249,576,.432,44,158,.278,205,418,.490,.470,99,115,.861,28,173,201,214,42,5,91,94,641
7,Andre Roberson,23,67,65,1286,92,201,.458,21,85,.247,71,116,.612,.510,23,48,.479,60,195,255,70,53,29,46,141,228
8,Nick Collison,34,66,2,1101,106,253,.419,16,60,.267,90,193,.466,.451,45,65,.692,90,160,250,90,35,25,45,156,273
9,Kendrick Perkins,30,51,3,981,82,186,.441,0,1,.000,82,185,.443,.441,38,75,.507,80,199,279,43,14,38,74,135,202
10,Kevin Durant,26,27,27,913,238,467,.510,64,159,.403,174,308,.565,.578,146,171,.854,16,162,178,110,24,25,74,40,686
11,Enes Kanter,22,26,26,809,196,346,.566,3,4,.750,193,342,.564,.571,90,116,.776,130,157,287,29,13,13,52,75,485
12,D.J. Augustin,27,28,1,677,69,186,.371,34,96,.354,35,90,.389,.462,31,36,.861,7,54,61,88,16,1,35,32,203
13,Jeremy Lamb,22,47,8,633,104,250,.416,38,111,.342,66,139,.475,.492,49,55,.891,8,99,107,44,21,6,27,52,295
14,Perry Jones,23,43,13,631,73,184,.397,14,60,.233,59,124,.476,.435,24,37,.649,6,70,76,18,17,8,24,50,184
15,Mitch McGary,22,32,2,485,88,165,.533,0,2,.000,88,163,.540,.533,25,40,.625,53,112,165,14,16,16,31,72,201
16,Kyle Singler,26,26,18,456,32,96,.333,20,54,.370,12,42,.286,.438,11,16,.688,10,45,55,18,14,7,13,55,95
17,Lance Thomas,26,22,13,450,45,126,.357,0,1,.000,45,125,.360,.357,23,33,.697,28,47,75,20,11,0,17,38,113
18,Sebastian Telfair,29,16,1,327,46,125,.368,18,60,.300,28,65,.431,.440,24,34,.706,2,28,30,45,10,0,18,29,134
19,Ish Smith,26,30,0,155,15,45,.333,1,5,.200,14,40,.350,.344,6,9,.667,5,22,27,28,4,1,9,12,37
20,Steve Novak,31,13,0,88,6,21,.286,3,15,.200,3,6,.500,.357,0,0,,1,5,6,5,0,1,2,10,15
21,Grant Jerrett,21,5,0,25,3,17,.176,1,13,.077,2,4,.500,.206,0,0,,1,3,4,1,0,2,2,7,7
,Team Totals,,82,,19830,3184,7119,.447,632,1864,.339,2552,5255,.486,.492,1524,2020,.754,1052,2844,3896,1681,598,454,1205,1829,8524
