
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Rashard Lewis,29,79,79,2859,478,1089,.439,220,554,.397,258,535,.482,.540,225,269,.836,92,361,453,205,81,51,158,194,1401
2,Dwight Howard,23,79,79,2821,560,979,.572,0,2,.000,560,977,.573,.572,504,849,.594,336,757,1093,112,77,231,240,270,1624
3,Hedo Turkoglu,29,77,77,2815,423,1025,.413,134,376,.356,289,649,.445,.478,314,389,.807,45,365,410,375,64,19,204,218,1294
4,Courtney Lee,23,77,42,1939,243,540,.450,82,203,.404,161,337,.478,.526,78,94,.830,18,160,178,91,76,14,69,157,646
5,Anthony Johnson,34,80,12,1481,154,381,.404,52,133,.391,102,248,.411,.472,61,81,.753,29,118,147,200,46,5,82,111,421
6,Mickael Pietrus,26,54,25,1329,176,426,.413,80,223,.359,96,203,.473,.507,78,110,.709,44,132,176,65,31,24,56,126,510
7,Jameer Nelson,26,42,42,1309,267,531,.503,82,181,.453,185,350,.529,.580,86,97,.887,20,125,145,226,51,3,83,123,702
8,Tony Battie,32,77,3,1202,158,323,.489,2,9,.222,156,314,.497,.492,54,82,.659,92,186,278,31,26,25,46,112,372
9,J.J. Redick,24,64,5,1111,117,299,.391,67,179,.374,50,120,.417,.503,81,93,.871,8,101,109,73,21,1,54,72,382
10,Rafer Alston,32,29,28,856,123,298,.413,32,101,.317,91,197,.462,.466,70,99,.707,8,75,83,148,51,3,52,63,348
11,Marcin Gortat,24,63,3,794,106,187,.567,1,1,1.000,105,186,.565,.570,26,45,.578,96,190,286,14,18,53,25,111,239
12,Keith Bogans,28,36,15,787,63,175,.360,42,126,.333,21,49,.429,.480,21,24,.875,15,96,111,31,23,2,19,61,189
13,Brian Cook,28,21,0,146,23,60,.383,11,25,.440,12,35,.343,.475,5,6,.833,6,21,27,4,3,0,11,23,62
14,Tyronn Lue,31,14,0,129,17,43,.395,6,17,.353,11,26,.423,.465,2,3,.667,0,11,11,14,2,0,2,13,42
15,Jeremy Richardson,24,12,0,93,14,49,.286,6,17,.353,8,32,.250,.347,3,6,.500,1,13,14,3,0,0,3,6,37
16,Adonal Foyle,33,9,0,59,7,11,.636,0,0,,7,11,.636,.636,3,6,.500,9,17,26,1,0,8,3,4,17
,Team Totals,,82,,19730,2929,6416,.457,817,2147,.381,2112,4269,.495,.520,1611,2253,.715,819,2728,3547,1593,570,439,1142,1664,8286
