
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Allen Iverson,29,75,75,3174,771,1818,.424,104,338,.308,667,1480,.451,.453,656,786,.835,51,248,299,596,180,9,344,140,2302
2,Andre Iguodala,21,82,82,2686,269,546,.493,47,142,.331,222,404,.550,.536,156,210,.743,89,375,464,246,138,48,139,204,741
3,Kyle Korver,23,82,57,2667,317,759,.418,226,558,.405,91,201,.453,.567,82,96,.854,40,339,379,182,103,33,106,265,942
4,Marc Jackson,30,81,23,1976,340,731,.465,0,2,.000,340,729,.466,.465,289,349,.828,184,222,406,81,32,18,131,171,969
5,Samuel Dalembert,23,72,60,1785,250,477,.524,0,0,,250,477,.524,.524,89,148,.601,187,355,542,35,46,121,114,241,589
6,Kenny Thomas,27,47,43,1344,217,476,.456,1,4,.250,216,472,.458,.457,95,119,.798,106,202,308,77,40,6,83,151,530
7,Aaron McKie,32,68,3,1118,61,142,.430,20,62,.323,41,80,.513,.500,10,16,.625,20,152,172,103,48,17,31,116,152
8,Willie Green,23,57,21,1066,155,423,.366,30,105,.286,125,318,.393,.402,97,125,.776,22,111,133,100,34,6,75,121,437
9,Corliss Williamson,31,48,5,1056,194,417,.465,0,2,.000,194,415,.467,.465,130,165,.788,73,105,178,43,26,12,60,144,518
10,John Salmons,25,58,8,993,85,210,.405,31,91,.341,54,119,.454,.479,35,48,.729,12,109,121,114,40,13,51,92,236
11,Chris Webber,31,21,21,702,143,366,.391,4,15,.267,139,351,.396,.396,38,49,.776,36,129,165,66,26,19,49,70,328
12,Rodney Rogers,33,28,7,485,63,161,.391,23,76,.303,40,85,.471,.463,20,28,.714,33,71,104,26,22,8,20,69,169
13,Josh Davis,24,42,5,328,42,111,.378,19,53,.358,23,58,.397,.464,14,17,.824,29,50,79,12,8,4,15,45,117
14,Brian Skinner,28,24,0,246,22,57,.386,0,1,.000,22,56,.393,.386,5,17,.294,23,39,62,5,5,6,13,29,49
15,Kevin Ollie,32,26,0,158,11,31,.355,0,0,,11,31,.355,.355,6,9,.667,3,16,19,19,5,0,6,16,28
16,Kedrick Brown,23,8,0,55,2,6,.333,0,3,.000,2,3,.667,.333,8,10,.800,1,10,11,4,3,1,5,4,12
17,Michael Bradley,25,2,0,16,4,5,.800,0,1,.000,4,4,1.000,.800,1,2,.500,0,3,3,1,0,0,1,0,9
,Team Totals,,82,,19855,2946,6736,.437,505,1453,.348,2441,5283,.462,.475,1731,2194,.789,909,2536,3445,1710,756,321,1274,1878,8128
