
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Goran Dragic,26,77,77,2581,401,906,.443,88,276,.319,313,630,.497,.491,244,326,.748,60,178,238,569,124,26,212,214,1134
2,Luis Scola,32,82,67,2184,432,915,.472,3,16,.188,429,899,.477,.474,181,230,.787,158,383,541,182,67,35,126,257,1048
3,Jared Dudley,27,79,50,2170,313,669,.468,106,271,.391,207,398,.520,.547,129,162,.796,79,166,245,203,75,8,101,128,861
4,P.J. Tucker,27,79,45,1910,210,444,.473,22,70,.314,188,374,.503,.498,64,86,.744,132,218,350,109,62,19,67,145,506
5,Marcin Gortat,28,61,61,1876,295,566,.521,0,3,.000,295,563,.524,.521,90,138,.652,128,388,516,75,40,98,99,127,680
6,Markieff Morris,23,82,32,1837,266,653,.407,45,134,.336,221,519,.426,.442,93,127,.732,131,265,396,108,77,64,104,209,670
7,Michael Beasley,24,75,20,1554,310,766,.405,45,144,.313,265,622,.426,.434,94,126,.746,52,230,282,111,31,34,144,107,759
8,Shannon Brown,27,59,22,1402,240,571,.420,39,141,.277,201,430,.467,.454,98,125,.784,44,105,149,108,59,15,74,92,617
9,Jermaine O'Neal,34,55,4,1029,179,371,.482,0,0,,179,371,.482,.482,96,115,.835,82,211,293,42,19,78,73,126,454
10,Wesley Johnson,25,50,21,953,161,396,.407,50,155,.323,111,241,.461,.470,27,35,.771,21,102,123,34,22,18,48,56,399
11,Sebastian Telfair,27,46,2,795,94,247,.381,43,113,.381,51,134,.381,.468,44,57,.772,12,56,68,114,28,10,53,84,275
12,Kendall Marshall,21,48,3,702,56,151,.371,23,73,.315,33,78,.423,.447,8,14,.571,4,38,42,143,22,4,57,48,143
13,Marcus Morris,23,23,6,370,51,126,.405,12,39,.308,39,87,.448,.452,17,42,.405,17,41,58,15,18,4,24,40,131
14,Hamed Haddadi,27,17,0,235,28,61,.459,0,0,,28,61,.459,.459,13,25,.520,33,54,87,8,5,21,27,45,69
15,Diante Garrett,24,19,0,149,16,49,.327,3,15,.200,13,34,.382,.357,5,10,.500,5,10,15,31,10,0,16,5,40
16,Luke Zeller,25,16,0,58,9,26,.346,1,5,.200,8,21,.381,.365,0,0,,1,9,10,3,0,0,0,5,19
,Team Totals,,82,,19805,3061,6917,.443,480,1455,.330,2581,5462,.473,.477,1203,1618,.744,959,2454,3413,1855,659,434,1278,1688,7805
