
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Zach Randolph,24,74,71,2545,536,1229,.436,16,55,.291,520,1174,.443,.443,245,343,.714,193,399,592,144,57,14,165,185,1333
2,Juan Dixon,27,76,42,1920,357,821,.435,65,170,.382,292,651,.449,.474,156,194,.804,30,147,177,149,58,6,113,157,935
3,Steve Blake,25,68,57,1781,206,470,.438,76,184,.413,130,286,.455,.519,72,91,.791,26,120,146,306,42,5,83,107,560
4,Sebastian Telfair,20,68,30,1641,228,578,.394,57,162,.352,171,416,.411,.444,130,175,.743,19,101,120,247,66,6,115,167,643
5,Jarrett Jack,22,79,4,1599,189,428,.442,20,76,.263,169,352,.480,.465,128,160,.800,18,142,160,219,41,2,102,138,526
6,Viktor Khryapa,23,69,53,1492,158,342,.462,10,30,.333,148,312,.474,.477,77,111,.694,114,193,307,88,50,29,84,209,403
7,Joel Przybilla,26,56,52,1395,131,239,.548,0,0,,131,239,.548,.548,82,154,.532,146,245,391,43,20,130,76,149,344
8,Theo Ratliff,32,55,19,1301,108,189,.571,0,0,,108,189,.571,.571,54,83,.651,89,190,279,28,18,88,47,143,270
9,Darius Miles,24,40,23,1286,235,510,.461,2,10,.200,233,500,.466,.463,87,163,.534,24,158,182,73,42,39,99,100,559
10,Travis Outlaw,21,69,11,1153,162,368,.440,14,53,.264,148,315,.470,.459,62,89,.697,48,141,189,34,31,46,37,112,400
11,Martell Webster,19,61,18,1070,139,348,.399,65,182,.357,74,166,.446,.493,61,71,.859,29,101,130,34,21,14,43,90,404
12,Ruben Patterson,30,45,2,1056,188,379,.496,0,7,.000,188,372,.505,.496,138,226,.611,73,81,154,60,42,12,82,79,514
13,Brian Skinner,29,27,5,515,44,91,.484,0,0,,44,91,.484,.484,15,29,.517,46,81,127,13,14,23,27,65,103
14,Sergei Monia,22,23,15,336,29,85,.341,9,33,.273,20,52,.385,.394,8,12,.667,11,40,51,19,6,5,12,41,75
15,Voshon Lenard,32,14,0,220,33,88,.375,15,43,.349,18,45,.400,.460,11,18,.611,3,16,19,23,13,2,20,18,92
16,Ha Seung-Jin,20,27,4,212,18,31,.581,0,0,,18,31,.581,.581,8,17,.471,14,35,49,1,3,8,14,41,44
17,Charles Smith,30,21,4,208,30,71,.423,15,37,.405,15,34,.441,.528,5,8,.625,3,13,16,9,5,6,4,27,80
,Team Totals,,82,,19730,2791,6267,.445,364,1042,.349,2427,5225,.464,.474,1339,1944,.689,886,2203,3089,1490,529,435,1205,1828,7285
