
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ben McLemore,21,82,82,2670,363,831,.437,140,391,.358,223,440,.507,.521,130,160,.813,31,210,241,140,77,19,138,219,996
2,Rudy Gay,28,68,67,2408,508,1116,.455,79,220,.359,429,896,.479,.491,337,393,.858,98,301,399,250,71,41,183,157,1432
3,DeMarcus Cousins,24,59,59,2013,498,1066,.467,2,8,.250,496,1058,.469,.468,423,541,.782,185,562,747,210,90,103,254,241,1421
4,Jason Thompson,28,81,63,1991,201,428,.470,0,1,.000,201,427,.471,.470,89,143,.622,139,391,530,85,33,57,84,239,491
5,Darren Collison,27,45,45,1565,260,550,.473,60,161,.373,200,389,.514,.527,145,184,.788,19,124,143,252,67,14,112,95,725
6,Derrick Williams,23,74,6,1462,217,485,.447,49,156,.314,168,329,.511,.498,134,196,.684,41,161,202,50,34,4,56,67,617
7,Ray McCallum,23,68,30,1436,206,470,.438,34,111,.306,172,359,.479,.474,57,84,.679,52,128,180,188,45,11,85,92,503
8,Omri Casspi,26,67,19,1416,209,427,.489,35,87,.402,174,340,.512,.530,140,191,.733,54,206,260,102,31,9,88,107,593
9,Carl Landry,31,70,15,1192,190,369,.515,0,0,,190,369,.515,.515,123,150,.820,99,169,268,26,15,17,54,132,503
10,Nik Stauskas,21,73,1,1127,108,296,.365,48,149,.322,60,147,.408,.446,55,64,.859,11,77,88,67,20,17,40,92,319
11,Reggie Evans,34,47,7,764,58,137,.423,0,2,.000,58,135,.430,.423,60,97,.619,97,202,299,32,22,5,45,91,176
12,Ramon Sessions,28,36,7,642,63,183,.344,6,28,.214,57,155,.368,.361,64,88,.727,13,56,69,96,13,0,51,45,196
13,Andre Miller,38,30,0,622,68,148,.459,6,26,.231,62,122,.508,.480,30,38,.789,16,60,76,141,18,4,58,47,172
14,Ryan Hollins,30,46,9,441,53,82,.646,0,0,,53,82,.646,.646,31,54,.574,36,67,103,14,6,19,25,65,137
15,Quincy Miller,22,6,0,61,4,18,.222,1,7,.143,3,11,.273,.250,8,11,.727,2,10,12,3,6,3,3,4,17
16,David Stockton,23,3,0,33,2,6,.333,1,2,.500,1,4,.250,.417,3,6,.500,0,2,2,9,2,0,4,1,8
17,David Wear,24,2,0,7,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,2,0,2,1,0,0,0,1,0
18,Sim Bhullar,22,3,0,3,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,1,0,1,0,0,2
19,Eric Moreland,23,3,0,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,0,0,0,0,1,2
,Team Totals,,82,,19855,3010,6617,.455,461,1350,.341,2549,5267,.484,.490,1829,2400,.762,895,2728,3623,1667,550,324,1333,1696,8310
