
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tony Parker,28,78,78,2528,555,1069,.519,25,70,.357,530,999,.531,.531,233,303,.769,30,208,238,513,90,3,200,135,1368
2,Richard Jefferson,30,81,81,2459,304,642,.474,135,307,.440,169,335,.504,.579,148,195,.759,54,256,310,107,38,34,93,164,891
3,Manu Ginobili,33,80,79,2426,441,1018,.433,154,441,.349,287,577,.497,.509,357,410,.871,42,253,295,393,123,28,174,163,1393
4,Tim Duncan,34,76,76,2156,419,838,.500,0,4,.000,419,834,.502,.500,184,257,.716,169,509,678,203,50,146,122,119,1022
5,George Hill,24,76,5,2148,287,633,.453,77,204,.377,210,429,.490,.514,233,270,.863,24,175,199,193,66,21,99,153,884
6,DeJuan Blair,21,81,65,1734,292,583,.501,0,2,.000,292,581,.503,.501,90,137,.657,215,350,565,77,95,42,113,213,674
7,Gary Neal,26,80,1,1685,285,632,.451,129,308,.419,156,324,.481,.553,84,104,.808,21,175,196,96,27,4,78,148,783
8,Matt Bonner,30,66,1,1432,172,371,.464,105,230,.457,67,141,.475,.605,32,43,.744,60,179,239,60,26,21,27,110,481
9,Antonio McDyess,36,73,16,1387,169,344,.491,0,1,.000,169,343,.493,.491,52,77,.675,122,273,395,84,36,39,72,163,390
10,Tiago Splitter,26,60,6,738,101,191,.529,0,1,.000,101,190,.532,.529,76,140,.543,72,129,201,26,29,17,32,91,278
11,Chris Quinn,27,41,0,292,33,91,.363,11,37,.297,22,54,.407,.423,4,8,.500,3,22,25,42,5,1,12,29,81
12,James Anderson,21,26,2,286,31,81,.383,18,46,.391,13,35,.371,.494,14,18,.778,2,21,23,18,3,6,13,24,94
13,Steve Novak,27,23,0,197,31,59,.525,23,42,.548,8,17,.471,.720,8,8,1.000,4,19,23,3,1,5,4,11,93
14,Ime Udoka,33,20,0,130,5,21,.238,0,8,.000,5,13,.385,.238,4,8,.500,5,14,19,13,8,1,5,14,14
15,Danny Green,23,8,0,92,17,35,.486,7,19,.368,10,16,.625,.586,0,0,,3,12,15,2,2,1,5,7,41
16,Larry Owens,28,7,0,31,3,6,.500,1,3,.333,2,3,.667,.583,2,4,.500,0,4,4,1,2,0,0,4,9
17,Garrett Temple,24,3,0,21,1,5,.200,0,1,.000,1,4,.250,.200,0,2,.000,1,1,2,2,1,1,1,2,2
18,Alonzo Gee,23,5,0,18,1,3,.333,0,0,,1,3,.333,.333,0,0,,2,1,3,0,0,2,3,3,2
19,Bobby Simmons,30,2,0,16,0,3,.000,0,3,.000,0,0,,.000,0,0,,0,0,0,2,0,0,0,2,0
20,Othyus Jeffers,25,1,0,8,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,2,2,1,0,0,1,1,2
,Team Totals,,82,,19780,3148,6628,.475,685,1727,.397,2463,4901,.503,.527,1521,1984,.767,829,2603,3432,1836,602,372,1101,1556,8502
