
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ray Allen,30,78,78,3022,681,1500,.454,269,653,.412,412,847,.486,.544,324,359,.903,71,261,332,286,105,16,188,151,1955
2,Rashard Lewis,26,78,77,2876,538,1151,.467,142,370,.384,396,781,.507,.529,350,428,.818,111,279,390,182,102,50,141,191,1568
3,Luke Ridnour,24,79,77,2625,334,799,.418,43,149,.289,291,650,.448,.445,199,227,.877,47,188,235,550,123,22,162,178,910
4,Damien Wilkins,26,82,12,1525,193,435,.444,14,56,.250,179,379,.472,.460,136,162,.840,79,113,192,107,72,12,85,144,536
5,Nick Collison,25,66,27,1448,207,394,.525,0,3,.000,207,391,.529,.525,79,113,.699,143,225,368,74,21,35,77,213,493
6,Johan Petro,20,68,41,1282,153,300,.510,0,0,,153,300,.510,.510,47,75,.627,109,187,296,15,25,51,60,213,353
7,Vladimir Radmanovic,25,47,16,1089,154,384,.401,72,196,.367,82,188,.436,.495,55,62,.887,39,148,187,72,32,15,53,130,435
8,Ronald Murray,26,48,2,1085,179,451,.397,17,76,.224,162,375,.432,.416,99,138,.717,18,68,86,120,30,4,79,69,474
9,Robert Swift,20,47,20,987,124,241,.515,0,0,,124,241,.515,.515,53,91,.582,94,170,264,8,15,56,49,142,301
10,Chris Wilcox,23,29,23,872,167,282,.592,0,0,,167,282,.592,.592,74,94,.787,72,165,237,34,18,13,40,80,408
11,Reggie Evans,25,41,23,788,88,173,.509,0,1,.000,88,172,.512,.509,66,120,.550,114,162,276,23,24,5,41,95,242
12,Earl Watson,26,24,0,603,98,227,.432,42,100,.420,56,127,.441,.524,38,52,.731,7,65,72,129,31,3,61,64,276
13,Mikki Moore,30,47,1,583,54,124,.435,0,2,.000,54,122,.443,.435,46,62,.742,44,86,130,27,7,15,40,92,154
14,Vitaly Potapenko,30,24,12,321,32,64,.500,0,0,,32,64,.500,.500,10,17,.588,26,36,62,7,2,2,14,44,74
15,Danny Fortson,29,23,1,276,27,51,.529,0,0,,27,51,.529,.529,33,43,.767,31,47,78,2,4,2,26,76,87
16,Mateen Cleaves,28,27,0,230,25,71,.352,4,16,.250,21,55,.382,.380,19,24,.792,2,12,14,42,3,2,14,30,73
17,Mike Wilks,26,10,0,105,12,31,.387,1,5,.200,11,26,.423,.403,19,29,.655,3,9,12,14,6,0,9,7,44
18,Noel Felix,24,12,0,82,6,25,.240,1,3,.333,5,22,.227,.260,5,8,.625,3,10,13,2,2,3,8,13,18
19,Rick Brunson,33,4,0,31,5,8,.625,0,1,.000,5,7,.714,.625,0,0,,0,2,2,2,0,0,3,1,10
,Team Totals,,82,,19830,3077,6711,.459,605,1631,.371,2472,5080,.487,.504,1652,2104,.785,1013,2233,3246,1696,622,306,1208,1933,8411
