
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Andrea Bargnani,24,80,80,2799,537,1143,.470,121,325,.372,416,818,.509,.523,181,234,.774,105,388,493,93,25,111,120,215,1376
2,Chris Bosh,25,70,70,2526,600,1158,.518,8,22,.364,592,1136,.521,.522,470,590,.797,205,554,759,166,43,68,169,170,1678
3,Hedo Turkoglu,30,74,69,2272,276,674,.409,108,289,.374,168,385,.436,.490,175,226,.774,42,301,343,304,55,32,125,220,835
4,Jarrett Jack,26,82,43,2243,323,671,.481,82,199,.412,241,472,.511,.542,203,241,.842,30,192,222,413,60,6,163,151,931
5,Jose Calderon,28,68,39,1817,274,568,.482,68,171,.398,206,397,.519,.542,83,104,.798,23,119,142,404,47,7,99,135,699
6,DeMar DeRozan,20,77,65,1664,255,512,.498,4,16,.250,251,496,.506,.502,148,194,.763,66,157,223,53,43,18,62,176,662
7,Amir Johnson,22,82,5,1453,208,334,.623,0,4,.000,208,330,.630,.623,95,149,.638,154,241,395,48,44,66,63,255,511
8,Antoine Wright,25,67,10,1392,162,399,.406,58,173,.335,104,226,.460,.479,53,77,.688,38,152,190,71,30,11,58,134,435
9,Sonny Weems,23,69,19,1368,236,458,.515,2,15,.133,234,443,.528,.517,44,64,.688,42,150,192,101,39,25,65,126,518
10,Marco Belinelli,23,66,1,1121,154,379,.406,60,158,.380,94,221,.425,.485,101,121,.835,14,81,95,89,42,5,60,80,469
11,Rasho Nesterovic,33,42,8,413,81,149,.544,0,0,,81,149,.544,.544,1,5,.200,37,52,89,25,10,17,16,54,163
12,Reggie Evans,29,28,1,311,34,69,.493,0,0,,34,69,.493,.493,27,60,.450,30,75,105,8,14,4,22,44,95
13,Marcus Banks,28,22,0,244,39,73,.534,7,24,.292,32,49,.653,.582,24,29,.828,3,20,23,26,12,2,20,30,109
14,Pops Mensah-Bonsu,26,16,0,107,12,29,.414,0,0,,12,29,.414,.414,10,18,.556,15,16,31,2,3,8,10,17,34
15,Patrick O'Bryant,23,11,0,51,8,15,.533,0,1,.000,8,14,.571,.533,3,6,.500,2,9,11,1,2,4,5,12,19
,Team Totals,,82,,19780,3199,6631,.482,518,1397,.371,2681,5234,.512,.521,1618,2118,.764,806,2507,3313,1804,469,384,1100,1819,8534
