
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paul Millsap,26,64,62,2100,426,861,.495,7,31,.226,419,830,.505,.499,202,255,.792,180,383,563,150,118,52,112,222,1061
2,Al Jefferson,27,61,61,2075,516,1048,.492,1,4,.250,515,1044,.493,.493,137,177,.774,133,452,585,134,47,101,62,155,1170
3,Gordon Hayward,21,66,58,2015,267,586,.456,55,159,.346,212,427,.496,.503,193,232,.832,59,171,230,207,53,41,109,106,782
4,Devin Harris,28,63,63,1741,241,542,.445,77,213,.362,164,329,.498,.516,156,209,.746,12,100,112,316,64,13,122,136,715
5,Derrick Favors,20,65,9,1376,222,445,.499,0,0,,222,445,.499,.499,126,194,.649,158,267,425,43,38,65,103,145,570
6,C.J. Miles,24,56,14,1145,177,465,.381,46,150,.307,131,315,.416,.430,108,136,.794,27,89,116,69,46,18,53,122,508
7,Earl Watson,32,50,2,1033,54,160,.338,10,52,.192,44,108,.407,.369,31,46,.674,30,91,121,217,54,22,85,105,149
8,Josh Howard,31,43,18,991,144,361,.399,9,37,.243,135,324,.417,.411,75,97,.773,39,119,158,50,32,10,53,91,372
9,Alec Burks,20,59,0,939,153,357,.429,15,45,.333,138,312,.442,.450,104,143,.727,57,75,132,55,27,5,51,84,425
10,Enes Kanter,19,66,0,874,117,236,.496,0,1,.000,117,235,.498,.496,70,105,.667,107,171,278,8,18,23,54,87,304
11,Raja Bell,35,34,33,796,81,174,.466,34,87,.391,47,87,.540,.563,21,25,.840,6,43,49,38,13,2,21,78,217
12,Jamaal Tinsley,33,37,1,507,57,141,.404,10,37,.270,47,104,.452,.440,13,17,.765,6,39,45,123,17,8,52,47,137
13,DeMarre Carroll,25,20,9,327,37,99,.374,7,19,.368,30,80,.375,.409,14,16,.875,28,22,50,15,12,1,9,36,95
14,Jeremy Evans,24,29,0,217,27,42,.643,0,1,.000,27,41,.659,.643,8,16,.500,19,31,50,13,6,24,5,23,62
15,Blake Ahearn,27,4,0,30,4,14,.286,2,9,.222,2,5,.400,.357,0,0,,0,2,2,1,0,0,5,4,10
,Team Totals,,66,,16165,2523,5531,.456,273,845,.323,2250,4686,.480,.481,1258,1668,.754,861,2055,2916,1439,545,385,936,1441,6577
