
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Andray Blatche,23,81,36,2256,478,999,.478,13,44,.295,465,955,.487,.485,174,234,.744,158,351,509,170,85,71,182,218,1143
2,Caron Butler,29,47,47,1853,293,694,.422,25,95,.263,268,599,.447,.440,185,211,.877,68,248,316,107,68,15,113,126,796
3,Mike Miller,29,54,50,1805,217,433,.501,82,171,.480,135,262,.515,.596,70,85,.824,55,281,336,212,39,12,115,131,586
4,Randy Foye,26,70,38,1667,256,619,.414,63,182,.346,193,437,.442,.464,129,145,.890,16,114,130,228,33,10,94,123,704
5,Brendan Haywood,30,49,48,1614,188,335,.561,0,0,,188,335,.561,.561,102,158,.646,200,307,507,18,18,101,67,145,478
6,Antawn Jamison,33,41,41,1595,315,700,.450,58,168,.345,257,532,.483,.491,152,217,.700,99,263,362,52,43,9,61,112,840
7,Nick Young,24,74,23,1421,233,558,.418,69,170,.406,164,388,.423,.479,104,130,.800,20,82,102,48,28,8,56,147,639
8,Gilbert Arenas,28,32,32,1169,253,616,.411,63,181,.348,190,435,.437,.462,153,207,.739,17,116,133,230,41,9,117,95,722
9,Earl Boykins,33,67,1,1117,172,403,.427,19,60,.317,153,343,.446,.450,77,89,.865,17,58,75,171,24,3,69,48,440
10,JaVale McGee,22,60,19,968,156,307,.508,0,1,.000,156,306,.510,.508,74,116,.638,88,155,243,14,16,101,51,122,386
11,James Singleton,28,32,3,766,73,190,.384,2,15,.133,71,175,.406,.389,47,56,.839,91,130,221,22,17,36,37,82,195
12,Al Thornton,26,24,16,674,100,216,.463,6,17,.353,94,199,.472,.477,50,72,.694,31,71,102,29,20,13,36,62,256
13,Shaun Livingston,24,26,18,666,99,185,.535,0,4,.000,99,181,.547,.535,42,48,.875,12,46,58,116,12,9,50,52,240
14,Fabricio Oberto,34,57,20,650,35,56,.625,0,0,,35,56,.625,.625,13,17,.765,34,71,105,51,11,9,36,121,83
15,DeShawn Stevenson,28,40,13,616,29,103,.282,11,62,.177,18,41,.439,.335,18,25,.720,7,58,65,44,11,5,24,51,87
16,Quinton Ross,28,25,0,261,17,55,.309,1,8,.125,16,47,.340,.318,3,6,.500,6,16,22,5,6,2,8,35,38
17,Dominic McGuire,24,41,0,240,15,40,.375,0,0,,15,40,.375,.375,0,5,.000,17,44,61,8,4,3,10,32,30
18,Alonzo Gee,22,11,2,182,28,59,.475,7,9,.778,21,50,.420,.534,18,29,.621,15,18,33,7,7,1,10,13,81
19,Cartier Martin,25,8,0,114,18,48,.375,7,18,.389,11,30,.367,.448,8,9,.889,8,13,21,7,3,1,6,12,51
20,Josh Howard,29,4,3,91,20,46,.435,3,11,.273,17,35,.486,.467,15,20,.750,4,9,13,4,3,2,3,13,58
21,Mike James,34,4,0,46,6,20,.300,2,6,.333,4,14,.286,.350,4,8,.500,1,2,3,5,3,0,5,3,18
22,Cedric Jackson,23,4,0,39,4,11,.364,1,3,.333,3,8,.375,.409,3,4,.750,1,2,3,6,0,0,8,5,12
23,Mike Harris,26,5,0,14,1,3,.333,0,0,,1,3,.333,.333,2,2,1.000,1,3,4,0,1,0,0,4,4
24,Paul Davis,25,2,0,8,2,4,.500,0,0,,2,4,.500,.500,1,2,.500,0,0,0,3,0,1,0,0,5
,Team Totals,,82,,19830,3008,6700,.449,432,1225,.353,2576,5475,.471,.481,1444,1895,.762,966,2458,3424,1557,493,421,1219,1752,7892
