
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
15,Al Horford,C,6-10,245,June 3 1986,,8,University of Florida
32,Mike Scott,PF,6-8,237,July 16 1988,,3,University of Virginia
17,Dennis Schroder,PG,6-1,172,September 15 1993,,2,
12,Kirk Hinrich,PG,6-4,190,January 2 1981,,12,University of Kansas
24,Kent Bazemore,SF,6-5,201,July 1 1989,,3,Old Dominion University
10,Tim Hardaway,SG,6-6,205,March 16 1992,,2,University of Michigan
25,Thabo Sefolosha,SF,6-7,220,May 2 1984,,9,
26,Kyle Korver,SG,6-7,212,March 17 1981,,12,Creighton University
11,Tiago Splitter,C,6-11,245,January 1 1985,,5,
0,Jeff Teague,PG,6-2,186,June 10 1988,,6,Wake Forest University
31,Mike Muscala,PF,6-11,240,July 1 1991,,2,Bucknell University
4,Paul Millsap,PF,6-8,246,February 10 1985,,9,Louisiana Tech University
13,Lamar Patterson,SG,6-5,225,August 12 1991,,R,University of Pittsburgh
22,Walter Tavares,C,7-3,260,March 22 1992,,R,
43,Kris Humphries,PF,6-9,235,February 6 1985,,11,University of Minnesota
