
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Avery Bradley,SG,6-2,180,November 26 1990,,5,University of Texas at Austin
7,Jared Sullinger,PF,6-9,260,March 4 1992,,3,Ohio State University
44,Tyler Zeller,C,7-0,253,January 17 1990,,3,University of North Carolina
41,Kelly Olynyk,C,7-0,238,April 19 1991,,2,Gonzaga University
4,Isaiah Thomas,PG,5-9,185,February 7 1989,,4,University of Washington
36,Marcus Smart,PG,6-4,220,March 6 1994,,1,Oklahoma State University
13,James Young,SG,6-6,215,August 16 1995,,1,University of Kentucky
11,Evan Turner,SG,6-7,220,October 27 1988,,5,Ohio State University
12,Terry Rozier,PG,6-2,190,March 17 1994,,R,University of Louisville
28,R.J. Hunter,SG,6-5,185,October 24 1993,,R,Georgia State University
99,Jae Crowder,SF,6-6,235,July 6 1990,,3,Marquette University
8,Jonas Jerebko,PF,6-10,231,March 2 1987,,5,
90,Amir Johnson,PF,6-9,240,May 1 1987,,10,
55,Jordan Mickey,PF,6-8,235,July 9 1994,,R,Louisiana State University
,John Holland,G-F,6-5,205,November 6 1988,,R,Boston University
