
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
10,Sergey Karasev,SF,6-7,208,October 26 1993,,2,
2,Jarrett Jack,PG,6-3,200,October 28 1983,,10,Georgia Institute of Technology
44,Bojan Bogdanovic,SF,6-8,216,April 18 1989,,1,
22,Markel Brown,SG,6-3,190,January 29 1992,,1,Oklahoma State University
24,Rondae Hollis-Jefferson,SF,6-7,220,January 3 1995,,R,University of Arizona
1,Chris McCullough,PF,6-11,200,February 5 1995,,R,Syracuse University
11,Brook Lopez,C,7-0,275,April 1 1988,,7,Stanford University
30,Thaddeus Young,PF,6-8,221,June 21 1988,,8,Georgia Institute of Technology
0,Shane Larkin,PG,5-11,175,October 2 1992,,2,University of Miami
21,Wayne Ellington,SG,6-4,200,October 29 1987,,6,University of North Carolina
41,Thomas Robinson,PF,6-10,237,March 17 1991,,3,University of Kansas
33,Willie Reed,PF,6-10,220,May 16 1990,,R,Saint Louis University
15,Donald Sloan,PG,6-3,205,January 15 1988,,4,Texas A&amp;M University
6,Sean Kilpatrick,SG,6-4,210,January 6 1990,,1,University of Cincinnati
14,Henry Sims,C,6-10,248,March 27 1990,,3,Georgetown University
