
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Derrick Rose,PG,6-3,190,October 4 1988,,6,University of Memphis
13,Joakim Noah,C,6-11,232,February 25 1985,,8,University of Florida
22,Taj Gibson,PF,6-9,225,June 24 1985,,6,University of Southern California
20,Tony Snell,SF,6-7,200,November 10 1991,,2,University of New Mexico
44,Nikola Mirotic,PF,6-10,220,February 11 1991,,1,
55,E'Twaun Moore,SG,6-4,191,February 28 1989,,4,Purdue University
3,Doug McDermott,SF,6-8,225,January 3 1992,,1,Creighton University
16,Pau Gasol,C,7-0,250,July 6 1980,,14,
41,Cameron Bairstow,C,6-9,250,December 7 1990,,1,University of New Mexico
5,Bobby Portis,PF,6-11,230,February 10 1995,,R,University of Arkansas
21,Jimmy Butler,SG,6-7,220,September 14 1989,,4,Marquette University
34,Mike Dunleavy,SF,6-9,230,September 15 1980,,13,Duke University
0,Aaron Brooks,PG,6-0,161,January 14 1985,,7,University of Oregon
7,Justin Holiday,SG,6-6,185,April 5 1989,,2,University of Washington
6,Cristiano Felicio,C,6-10,275,July 7 1992,,R,
