
No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Courtney Lee,SG,6-5,200,October 3 1985,,7,Western Kentucky University
14,Michael Kidd-Gilchrist,SF,6-7,232,September 26 1993,,3,University of Kentucky
15,Kemba Walker,PG,6-1,172,May 8 1990,,4,University of Connecticut
40,Cody Zeller,C,7-0,240,October 5 1992,,2,Indiana University
3,Jeremy Lamb,SG,6-5,185,May 30 1992,,3,University of Connecticut
00,Spencer Hawes,PF,7-1,245,April 28 1988,,8,University of Washington
5,Nicolas Batum,SG,6-8,200,December 14 1988,,7,
2,Marvin Williams,PF,6-9,237,June 19 1986,,10,University of North Carolina
25,Al Jefferson,C,6-10,289,January 4 1985,,11,
30,Troy Daniels,SG,6-4,205,July 15 1991,,2,Virginia Commonwealth University
44,Frank Kaminsky,C,7-0,242,April 4 1993,,R,University of Wisconsin
7,Jeremy Lin,PG,6-3,200,August 23 1988,,5,Harvard University
50,Tyler Hansbrough,PF,6-9,250,November 3 1985,,6,University of North Carolina
9,Aaron Harrison,SG,6-6,210,October 28 1994,,R,University of Kentucky
12,Jorge Gutierrez,PG,6-3,191,December 27 1988,,2,University of California
